,Solute SMILES,Solvent SMILES,pKa (avg),pKa (all),Source,,,,,,
11,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,O,5.32,"[5.2, 5.7, 5.19, 5.19]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
12,CS(=O)C(C)(C)C=NO,O,10.81,[10.81],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13,CCOC(=O)C1(c2ccccc2)CCN(CC(F)(F)F)CC1.Cl,O,3.13,[3.13],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
14,CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,O,10.38,[10.38],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
15,O=C(O)CNC(=O)CNS(=O)(=O)c1ccccc1,O,3.55,[3.55],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
16,NC(=O)CCc1cccnc1,O,5.21,[5.21],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
17,O=C(O)[C@H]1O[C@@H]1C(=O)O,O,1.92,[1.92],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
18,O=C(CCl)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O,2.86,[2.86],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
19,CC(C)C(NC(=O)Cn1c(-c2ccccc2)cc2c(=O)n(CCN3CCOCC3)c(=O)[nH]c2c1=O)C(=O)C(F)(F)F,O,7.04,[7.04],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
20,N/C(=N\O)c1cccnc1,O,11.82,[11.82],[https://bit.ly/3wF902t],,,,,,
21,CC(C)C(=O)N=c1sc(S(N)(=O)=O)nn1C,O,7.4,[7.4],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
22,N/C(=[NH+]\O)c1ccccc1N,O,2.2,[2.2],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
23,CC[C@H]1OC(=O)CC(O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CCN(CCCN(C)C)C(=O)CN)C[C@@H](C)C(=O)/C=C\C(C)=C/[C@@H]1C,O,8.8,"[8.74, 9.81, 7.85]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
24,C[C@H]([C@H](O)c1ccccc1)N(C)C,O,10.02,[10.02],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
25,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)[NH+](C)CCC341,O,7.7,[7.7],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
26,CC1(C)CCCN1Cc1ccc2c(c1)OCO2,O,10,[10.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
27,COc1ccc2nc3cc(Cl)ccc3c(Nc3ccc(NS(C)(=O)=O)cc3OC)c2c1,O,6.52,[6.52],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
28,CC(C)C(=O)N(Cc1cccc(Cl)c1Cl)[C@H]1CCNC1,O,9.4,[9.4],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
29,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,O,6.2,"[6.2, 6.2, 6.2]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., https://bit.ly/3wF902t, Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
30,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,O,15.86,[15.86],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
31,CC(C)(C)NCC(O)COC(C1CC1)C1CC1,O,9.63,[9.63],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
32,CC(=O)[C@@]12CN(Cc3cccc(Cl)c3)C[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,O,6.9,[6.9],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
33,CCC/C=C/C(=O)O,O,4.71,[4.71],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
34,CN(C)Cc1cc(Br)ccc1[O-],O,10.71,[10.71],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
35,Cn1cnc2cncnc21,O,2.345,"[2.42, 2.27]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
36,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@H](O)C2)c(-c2cncnc2)c1,O,3.3,[3.3],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
37,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,O,6.2725,"[6.25, 6.43, 6.4, 6.01]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., https://bit.ly/3wF902t, https://bit.ly/3wF902t, Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
38,Nc1ccc(C=O)cc1,O,1.74,[1.74],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
39,[O-]c1ncccn1,O,9.17,[9.17],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
40,CN(C(=O)c1ccccc1)c1ccccn1,O,1.44,"[1.44, 1.44]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
41,COc1ccc2c3c1OC1C(=O)CCC4C(C2)[NH+](C)CCC314,O,8.43,[8.43],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
42,CCCN(CCC)CCC,O,10.585,"[10.47, 10.7]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., https://bit.ly/3wF902t]",,,,,,
43,F[C@H]1CNCC[C@H]1Cc1ccccc1,O,9.3,[9.3],"[Settimo et al., Pharma. Res., 2014, 31, 1082-1095.]",,,,,,
44,Clc1cc2cccnc2c2ncccc12,O,4.23,"[4.22, 4.24]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
45,Oc1ccc(Cc2ccc(O)cc2)cc1,O,9.63,[9.63],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
46,NS(=O)(=O)c1ccc(SCCO)c(C(=O)O)c1,O,10.45,[10.45],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
47,Cc1ncc(C2CCN(C(=O)CCS(=O)(=O)c3ccc4cc(Cl)ccc4c3)CC2)n1C,O,8.2,[8.2],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
48,COc1ccccc1-c1nnn[nH]1,O,4.8,[4.8],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
49,O=C([O-])c1nccc2ccccc12,O,4.97,[4.97],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
50,O=C(Nc1ccccc1)c1c(O)cccc1O,O,6.3,[6.3],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
51,COC(=O)C(CCC(=O)[O-])(c1ccccc1)c1ccccc1,O,4.66,[4.66],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
52,CCC[Si](C)(CCC)CC(=O)O,O,5.65,[5.65],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
53,NC(Cc1cc(I)c(Oc2ccc(O)c([N+](=O)[O-])c2)c(I)c1)C(=O)O,O,7.23,[7.23],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
54,O=C(CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1)NS(=O)(=O)c1ccccc1.[Br-],O,5.12,[5.12],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
55,COC(=O)c1c2ccccc2nc2ccccc12,O,3.43,"[3.45, 3.41]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
56,O=C([O-])c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],O,0.65,[0.65],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
57,CC(C)c1cc(Nc2ccc(Cl)cc2Cl)ncc1C(=O)NCC1CCOCC1,O,6.02,[6.02],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
58,Oc1nc(O)c2cn[nH]c2n1,O,7.7,[7.7],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
59,COc1ccc2c(Nc3ccc(NS(C)(=O)=O)cc3OC)c3ccccc3nc2c1.Cl,O,7.39,[7.39],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
60,CNc1nc(Cc2ccccc2)nc2c1CCNC[C@@H]2C,O,8.6,[8.6],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
61,COc1ccc2ncc(=O)n(CCN3CC[C@H](NCc4ccc5c(n4)NC(=O)CO5)[C@@H](F)C3)c2c1,O,6.86,[6.86],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
62,CCNCC#CCNCC,O,8.32,[8.32],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
63,CC(C)N1C(=O)CSC1=[NH+]O,O,11.81,[11.81],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
64,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,O,7.4,[7.4],[https://bit.ly/3wF902t],,,,,,
65,O=c1[cH-]c(=O)n(-c2ccccc2)n1-c1ccccc1,O,4.6,[4.6],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
66,NC(=O)Nc1ccc([N+](=O)[O-])cc1,O,14,[14.0],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
67,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@@]3(O)[C@H]1C5,O,7.85,"[7.8, 7.9]","[https://bit.ly/3wF902t, https://bit.ly/3wF902t]",,,,,,
68,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,O,0,[0.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
69,CCN(CC)CC(=O)Nc1cc(C)cc(C)c1,O,8.01,[8.01],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
70,CN(C)CCNC(=O)c1nc2cccc3cccc([nH]1)c32,O,1.74,[1.74],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
71,CC(C)CNC(=O)CNC(=O)c1nccc(O)c1O.Cl,O,6.2,[6.2],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
72,CCOC(=O)c1cnc2oc(/C=N/N3CC(CN4CCOCC4)OC3=O)cc2c1O,O,5.24,[5.24],[https://bit.ly/3wF902t],,,,,,
73,NS(=O)(=O)c1ccc(S(=O)(=O)CCCCO)c(F)c1,O,9.18,"[9.18, 9.18]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
74,Cc1ccc2[nH]nnc2c1,O,8.9,[8.9],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
75,CC(C=NNC(N)=[NH2+])=NNC(N)=[NH2+],O,8.24,[8.24],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
76,Oc1[nH]c2ccccc2[nH+]1,O,-1.7,[-1.7],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
77,Nc1n[nH]c2ccccc12,O,3.135,"[3.15, 3.12]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
78,Cl.Cl.N=C(N)CCCCCCCCCCCCC(=N)N,O,13.6,[13.6],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
79,CS(=O)(=O)Nc1ccncc1Oc1ccc(Cl)cc1,O,7.97,[7.97],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
80,COc1cnc2cncnc2n1,O,1.64,[1.64],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
81,CN1CCN(CCO/N=C2C(=C3/C(=O)Nc4cc(Br)ccc43)/Nc3ccccc3/2)CC1.Cl.Cl,O,7.65,[7.65],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
82,CCN(CC)CCCOc1cc2oc3cc(OCCCN(CC)CC)c(OC)c(CC=C(C)C)c3c(=O)c2c(O)c1CC=C(C)C,O,10.98,[10.98],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
83,CCN(CC)CCNc1nc(C)cc(Nc2ccc(Cl)cc2)n1,O,9.6,[9.6],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
84,O=P([O-])(O)c1cn2c([nH+]1)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2CO,O,4.84,[4.84],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
85,C1CN(CC[NH+]2CCOCC2)CCO1,O,3.63,[3.63],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
86,CC(=O)Nc1cc(C)c(O)cc1C,O,10.11,[10.11],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
87,CS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc(F)ccc23)cc1,O,6.77,[6.77],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
88,CCCCCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc([N+](=O)[O-])ccc23)c(OC)c1.Cl,O,5.7,[5.7],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
89,[O-]c1c(F)c(F)c(F)c(F)c1F,O,5.42,[5.42],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
90,Nc1c[nH]nc1[N+](=O)[O-],O,9.5,[9.5],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
91,CS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1Cl,O,6.44,"[6.44, 6.44]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
92,O=C1O[C@@H]([C@@H](O)CO)C([O-])=C1O,O,11.33,[11.33],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
93,C[n+]1ccn(CCCOC(=O)c2ccc(Cl)cc2O)c1C=NO,O,8.03,[8.03],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
94,CCCC12CCC(=O)C=C1c1ccc(OCC(=O)O)cc1C2,O,4.05,[4.05],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
95,Cc1cccc(C)c1OCC(=O)[O-],O,3.36,[3.36],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
96,[N-]=[N+]=NCC(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O,3.03,[3.03],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
97,O=C(C[NH+]1CCCCC1)Nc1ccc(Cl)c(Cl)c1,O,7.93,[7.93],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
98,CC(O)CNCC[NH3+],O,6.94,[6.94],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
99,Nc1ccc(P(=O)(Nc2nccs2)OCC(F)(F)F)cc1,O,8.7,[8.7],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
100,CCOc1cc(CN2CCC(NC(=O)c3ccc(NC)nc3)CC2)cc(OCC)c1-c1ccc(F)cc1,O,7.86,[7.86],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
101,O=c1cc(-c2ccccc2)oc2c(O)cccc12,O,7.82,[7.82],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
102,O=C(O)CCCc1cccs1,O,4.54,[4.54],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
103,COc1ccccn1,O,3.2,"[3.06, 3.34]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
104,CC(C)(C)c1ccccc1O,O,11.3,[11.3],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
105,N#Cc1cccc(NS(=O)(=O)c2ccccc2)c1,O,7.15,[7.15],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
106,CCOCc1c[nH+]c(-c2ccc(OCC(O)C[NH2+]CCc3ccc(OC)c(OC)c3)cc2)[nH]1,O,7.78,[7.78],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
107,Fc1cccc(F)c1N=C1NCCN1,O,8.253333333,"[8.18, 8.4, 8.18]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
108,Cn1cc2nccnc2nc1=O,O,11.04,[11.04],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
109,C1CNCCNCC[NH2+]C1,O,6.75,[6.75],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
110,CCCCS,O,10.78,[10.78],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
111,O=C(O)CC/C=C/Cl,O,4.1,[4.1],[https://bit.ly/3wF902t],,,,,,
112,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C(F)F)COC3(CCOCC3)C(N)=N2)c1,O,6.5,[6.5],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
113,CC(C[NH3+])/C(N)=N/O,O,3.65,[3.65],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
114,C[C@@H]1CCC[C@H](C(=O)O)C1,O,4.88,[4.88],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
115,O=C(NCCCOc1cccc(C[NH+]2CCCCC2)c1)c1ccccc1,O,9,[9.0],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
116,NCCCC(F)(F)F,O,9.7,"[9.7, 9.7, 9.7]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., https://bit.ly/3wF902t, Settimo et al., Pharma. Res., 2014, 31, 1082-1095.]",,,,,,
117,ClC1CC2CCN1CC2,O,6.98,[6.98],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
119,Cc1ccc(C(=O)O)c([N+](=O)[O-])c1,O,2.68,[2.68],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
120,CN(C)c1ccccc1C(C)(C)C,O,4.26,[4.26],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
121,CCCCCCCCCCOC[n+]1cccc(/C=N/O)c1.[Cl-],O,9.25,[9.25],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
122,CN1C(=O)CC(=O)N(C)C1=O,O,4.68,[4.68],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
123,Nc1ccc(-c2ccc([NH3+])cc2)cc1,O,3.66,[3.66],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
124,[O-]c1ccccc1O,O,11.56,[11.56],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
125,N[C@@H](Cc1ccccc1)C(=O)[O-],O,9.14,[9.14],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
126,O=COO,O,7.1,[7.1],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
127,N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3C[C@H](O)CN32)cc1,O,3.8,"[3.8, 3.8]","[https://bit.ly/3wF902t, Settimo et al., Pharma. Res., 2014, 31, 1082-1095.]",,,,,,
128,C[NH+](C)CCCCCCNC(=O)/C=N/O,O,8.93,[8.93],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
129,CN(C)CCNc1nc2cccc3cccc([nH]1)c32,O,6,[6.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
130,Cc1cnc(NCCc2ccccc2)c(=O)n1CC(=O)NCc1ccc2nc(N)sc2c1,O,7.5,[7.5],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
131,N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3N2CCC3(F)F)cc1,O,2,[2.0],"[Settimo et al., Pharma. Res., 2014, 31, 1082-1095.]",,,,,,
132,CC(=O)C(C#N)=N[N-]c1ccc(Cl)c(Cl)c1,O,5.1,[5.1],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
133,Cc1nnc(C=NO)s1,O,8.4,[8.4],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
134,CCCNc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,O,8.245,"[8.24, 8.25]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
135,COc1ccc2c(c1)nnn2O,O,5.07,[5.07],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
136,CC(=O)c1ccc(Cl)cc1,O,18.08,[18.08],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
137,CN(C)c1c(Cl)cc([N+](=O)[O-])cc1Cl,O,-0.23,[-0.23],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
138,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,O,9,[9.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
139,CCc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,O,7.08,[7.08],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
140,Cc1cc(-c2[nH]cc[nH+]2)nn1C,O,2,[2.0],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
141,O=c1c2sc(-c3ccc(Cl)cc3)cc2ncn1-c1ccc2sc(CN3CCC(c4ccccc4)CC3)cc2c1,O,7.91,[7.91],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
142,N#CCC(=O)N1CCC[C@@H](n2nnc3cnc4[nH]ccc4c32)C1,O,1.96,[1.96],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
143,C#CCCCCn1cc[n+](COC)c1C=NO,O,8.23,[8.23],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
144,CN(C)C[C@H]1[C@@H]2C=C[C@@H](C2)[C@H]1CO,O,9.54,[9.54],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
