,Unnamed: 0,name,solute,solute SMILES,solvent,solvent SMILES,pka,ref,computed CAS,computed IUPAC
22,22,CAS,64934-68-5,FC1=C(F)C(=C(C(C#N)C2=C(F)C3=C(F)C(=C(F)C(=C3C(=C2F)F)F)F)C(=C1F)F)F,acetonitrile,CC#N,20.08,MeCN_Acids_COSMO-RS_2008_Table.pdf,RTXPMBCMHKMAPP-UHFFFAOYSA-,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)-2-(2,3,4,5,6-pentafluorophenyl)acetonitrile"
23,23,CAS,64934-69-6,FC1=C(F)C(=C(C(C#N)C2=C(Cl)C(=C(Cl)C(=C2Cl)F)F)C(=C1F)F)F,acetonitrile,CC#N,20.13,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,4,6-trichloro-3,5-difluorophenyl)acetonitrile"
24,24,CAS,64934-71-0,CC1=C(F)C(=C(C(C#N)C#N)C(=C1F)F)F,acetonitrile,CC#N,13.87,MeCN_Acids_COSMO-RS_2008_Table.pdf,HGIXMNIATOKKRV-UHFFFAOYSA-,"2-(2,3,5,6-tetrafluoro-4-methylphenyl)propanedinitrile"
25,25,CAS,64934-72-1,FC1=C(F)C(=C(F)C(=N1)F)C(C#N)C#N,acetonitrile,CC#N,13.46,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
26,26,CAS,719-38-0,C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,acetonitrile,CC#N,13.01,MeCN_Acids_COSMO-RS_2008_Table.pdf,719-38-0,"2-(2,3,4,5,6-pentafluorophenyl)propanedinitrile"
27,27,CAS,99726-60-0,C1=CC(=CC(=C1)C(F)(F)F)C(C#N)C#N,acetonitrile,CC#N,14.72,MeCN_Acids_COSMO-RS_2008_Table.pdf,99726-60-0,2-[3-(trifluoromethyl)phenyl]propanedinitrile
28,28,CAS,7077-65-8,C1=CC(=CC=C1C(C#N)C#N)[N+](=O)[O-],acetonitrile,CC#N,11.61,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
29,29,CAS,40906-82-9,C1=CC=C(C=C1)C(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,acetonitrile,CC#N,7.85,MeCN_Acids_COSMO-RS_2008_Table.pdf,40906-82-9,bis(trifluoromethylsulfonyl)methylbenzene
30,30,CAS,1582-05-4,CCOC(=O)C(C1=C(C(=C(C(=C1F)F)F)F)F)C(=O)OCC,acetonitrile,CC#N,22.85,MeCN_Acids_COSMO-RS_2008_Table.pdf,1582-05-4,"diethyl 2-(2,3,4,5,6-pentafluorophenyl)propanedioate"
31,31,CAS,215395-09-8,N#CC1C=C(C#N)C(=C1)C#N,acetonitrile,CC#N,4.16,MeCN_Acids_COSMO-RS_2008_Table.pdf,"1,3-Cyclopentadiene-2,3,5-tricarbonitrile","cyclopenta-2,5-diene-1,2,4-tricarbonitrile"
32,32,CAS,73482-93-6,FC1=C(F)C(=C(C2C3=C(C=CC=C3)C4=C2C=CC=C4)C(=C1F)F)F,acetonitrile,CC#N,28.11,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,"9-(2,3,4,5,6-pentafluorophenyl)-9H-fluorene"
33,33,CAS,205-94-7,C1=CC=C2C3=C4C(C2=C1)C5=CC=CC=C5C4=CC=C3,acetonitrile,CC#N,23.9,MeCN_Acids_COSMO-RS_2008_Table.pdf,205-94-7,"pentacyclo[10.6.1.02,7.08,19.013,18]nonadeca-2,4,6,8(19),9,11,13,15,17-nonaene"
34,34,CAS,3002-30-0,COC(=O)C1C2=CC=CC=C2C3=CC=CC=C13,acetonitrile,CC#N,23.53,MeCN_Acids_COSMO-RS_2008_Table.pdf,3002-30-0,methyl 9H-fluorene-9-carboxylate
35,35,name,9-Cyanofluorene,C1=CC=C2C(=C1)C(C3=CC=CC=C32)C#N,acetonitrile,CC#N,21.36,MeCN_Acids_COSMO-RS_2008_Table.pdf,1529-40-4,9H-fluorene-9-carbonitrile
36,36,CAS,63264-80-2,C1(C2=C(C3=C1C(=C(C(=C3F)F)F)F)C(=C(C(=C2F)F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F,acetonitrile,CC#N,18.88,MeCN_Acids_COSMO-RS_2008_Table.pdf,63264-80-2,"1,2,3,4,5,6,7,8-octafluoro-9-(2,3,4,5,6-pentafluorophenyl)-9H-fluorene"
37,37,CAS,27053-34-5,C1C2=C(C3=C1C(=C(C(=C3F)F)F)F)C(=C(C(=C2F)F)F)F,acetonitrile,CC#N,24.49,MeCN_Acids_COSMO-RS_2008_Table.pdf,27053-34-5,"1,2,3,4,5,6,7,8-octafluoro-9H-fluorene"
38,38,CAS,118-79-6,C1=C(C=C(C(=C1Br)O)Br)Br,acetonitrile,CC#N,20.35,MeCN_Acids_COSMO-RS_2008_Table.pdf,118-79-6,"2,4,6-tribromophenol"
39,39,CAS,2693-66-5,C1(=C(NC(=C(C1=O)F)F)F)F,acetonitrile,CC#N,15.4,MeCN_Acids_COSMO-RS_2008_Table.pdf,2693-66-5,"2,3,5,6-tetrafluoro-1H-pyridin-4-one"
40,40,CAS,2787-79-3,C1(=C(C(=C(C(=C1F)F)O)F)F)C(F)(F)F,acetonitrile,CC#N,16.62,MeCN_Acids_COSMO-RS_2008_Table.pdf,2787-79-3,"2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenol"
41,41,CAS,2894-87-3,C1(=C(C(=C(C(=C1F)F)O)F)F)C2=C(C(=C(C(=C2F)F)F)F)F,acetonitrile,CC#N,18.11,MeCN_Acids_COSMO-RS_2008_Table.pdf,2894-87-3,"2,3,5,6-tetrafluoro-4-(2,3,4,5,6-pentafluorophenyl)phenol"
42,42,CAS,5386-30-1,C12=C(C(=C(C(=C1O)F)F)F)C(=C(C(=C2F)F)F)F,acetonitrile,CC#N,19.72,MeCN_Acids_COSMO-RS_2008_Table.pdf,5386-30-1,"2,3,4,5,6,7,8-heptafluoronaphthalen-1-ol"
43,43,CAS,608-71-9,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)O,acetonitrile,CC#N,17.83,MeCN_Acids_COSMO-RS_2008_Table.pdf,608-71-9,"2,3,4,5,6-pentabromophenol"
44,44,CAS,727-49-1,C12=C(C(=C(C(=C1F)O)F)F)C(=C(C(=C2F)F)F)F,acetonitrile,CC#N,18.5,MeCN_Acids_COSMO-RS_2008_Table.pdf,727-49-1,"1,3,4,5,6,7,8-heptafluoronaphthalen-2-ol"
45,45,CAS,769-39-1,C1=C(C(=C(C(=C1F)F)O)F)F,acetonitrile,CC#N,20.12,MeCN_Acids_COSMO-RS_2008_Table.pdf,769-39-1,"2,3,5,6-tetrafluorophenol"
46,46,CAS,771-61-9,C1(=C(C(=C(C(=C1F)F)F)F)F)O,acetonitrile,CC#N,20.11,MeCN_Acids_COSMO-RS_2008_Table.pdf,771-61-9,"2,3,4,5,6-pentafluorophenol"
47,47,CAS,87-86-5,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,acetonitrile,CC#N,18.02,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
48,48,CAS,882492-01-5,OC1=C(C=C(C=C1[S](F)(=O)=O)[S](F)(=O)=O)[S](F)(=O)=O,acetonitrile,CC#N,5.53,MeCN_Acids_COSMO-RS_2008_Table.pdf,"2-hydroxybenzene-1,3,5-trisulfonyl fluoride","2-hydroxybenzene-1,3,5-trisulfonyl fluoride"
49,49,CAS,88-75-5,C1=CC=C(C(=C1)[N+](=O)[O-])O,acetonitrile,CC#N,22.85,MeCN_Acids_COSMO-RS_2008_Table.pdf,88-75-5,2-nitrophenol
50,50,name,"2,4-dinitrophenol",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,acetonitrile,CC#N,16.66,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
51,51,name,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],acetonitrile,CC#N,11.0,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
52,52,CAS,71571-37-4,OC1=C(C=C(C=C1[S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)F)[S](=O)(=O)C(F)(F)F,acetonitrile,CC#N,4.8,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,"2,4,6-tris(trifluoromethylsulfonyl)phenol"
53,53,CAS,1/2/78,C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)O,acetonitrile,CC#N,20.55,MeCN_Acids_COSMO-RS_2008_Table.pdf,2378-02-1,"1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-ol"
54,54,name,Acetic acid,CC(=O)O,acetonitrile,CC#N,23.51,MeCN_Acids_COSMO-RS_2008_Table.pdf,64-19-7,acetic acid
55,55,name,Benzoic acid,C1=CC=C(C=C1)C(=O)O,acetonitrile,CC#N,21.51,MeCN_Acids_COSMO-RS_2008_Table.pdf,65-85-0,benzoic acid
56,56,name,4-Methylbenzenesulfonic acid,CC1=CC=C(C=C1)S(=O)(=O)O,acetonitrile,CC#N,8.45,MeCN_Acids_COSMO-RS_2008_Table.pdf,104-15-4,4-methylbenzenesulfonic acid
57,57,name,4-nitro-benzenesulfonic acid,C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)O,acetonitrile,CC#N,6.6,MeCN_Acids_COSMO-RS_2008_Table.pdf,138-42-1,4-nitrobenzenesulfonic acid
58,58,CAS,85-47-2,C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)O,acetonitrile,CC#N,7.89,MeCN_Acids_COSMO-RS_2008_Table.pdf,85-47-2,naphthalene-1-sulfonic acid
59,59,name,3-nitro-benzenesulfonic acid,C1=CC(=CC(=C1)S(=O)(=O)O)[N+](=O)[O-],acetonitrile,CC#N,6.65,MeCN_Acids_COSMO-RS_2008_Table.pdf,98-47-5,3-nitrobenzenesulfonic acid
60,60,name,4-chloro-benzenesulfonicacid,C1=CC(=CC=C1S(=O)(=O)O)Cl,acetonitrile,CC#N,7.16,MeCN_Acids_COSMO-RS_2008_Table.pdf,98-66-8,4-chlorobenzenesulfonic acid
61,61,CAS,343337-70-2,CC1=CC=C(C=C1)C(=O)NS(=O)(=O)C(F)(F)F,acetonitrile,CC#N,11.46,MeCN_Acids_COSMO-RS_2008_Table.pdf,343337-70-2,4-methyl-N-(trifluoromethylsulfonyl)benzamide
62,62,CAS,39062-91-4,FC(F)(F)[S](=O)(=O)NC(=O)C1=CC=CC=C1,acetonitrile,CC#N,11.06,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,N-(trifluoromethylsulfonyl)benzamide
63,63,CAS,39062-98-1,C1=CC(=CC=C1C(=O)NS(=O)(=O)C(F)(F)F)[N+](=O)[O-],acetonitrile,CC#N,9.49,MeCN_Acids_COSMO-RS_2008_Table.pdf,39062-98-1,4-nitro-N-(trifluoromethylsulfonyl)benzamide
64,64,CAS,39062-99-2,FC(F)(F)[S](=O)(=O)NC(=O)C1=CC=C(Cl)C=C1,acetonitrile,CC#N,10.36,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,4-chloro-N-(trifluoromethylsulfonyl)benzamide
65,65,CAS,39063-00-8,FC1=CC=C(C=C1)C(=O)N[S](=O)(=O)C(F)(F)F,acetonitrile,CC#N,10.65,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
66,66,CAS,39063-05-3,COC1=CC=C(C=C1)C(=O)N[S](=O)(=O)C(F)(F)F,acetonitrile,CC#N,11.6,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,4-methoxy-N-(trifluoromethylsulfonyl)benzamide
67,67,name,Saccharin,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,acetonitrile,CC#N,14.57,MeCN_Acids_COSMO-RS_2008_Table.pdf,128-44-9,"1,1-dioxo-1,2-benzothiazol-3-one"
68,68,CAS,100724-78-5,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC=C(C=C2)[N+]([O-])=O,acetonitrile,CC#N,10.04,MeCN_Acids_COSMO-RS_2008_Table.pdf,"4-Methyl-4'-nitro[1,1'-iminobis(sulfonyl)bis(benzene)]",4-methyl-N-(4-nitrophenyl)sulfonylbenzenesulfonamide
69,69,CAS,174788-87-5,FC(F)(F)[S](=O)(=O)N[S](=O)(=O)C1=CC=CC=C1,acetonitrile,CC#N,5.89,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,N-(trifluoromethylsulfonyl)benzenesulfonamide
70,70,CAS,174788-89-7,FC(F)(F)[S](=O)(=O)N[S](=O)(=O)C1=CC=C(Cl)C=C1,acetonitrile,CC#N,5.34,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,4-chloro-N-(trifluoromethylsulfonyl)benzenesulfonamide
71,71,CAS,174788-91-1,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C(F)(F)F,acetonitrile,CC#N,4.39,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,4-nitro-N-(trifluoromethylsulfonyl)benzenesulfonamide
72,72,CAS,174788-93-3,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=N[S](=O)(=O)C(F)(F)F)C2=CC=C(Cl)C=C2,acetonitrile,CC#N,5.14,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
73,73,CAS,174788-95-5,FC(F)(F)[S](=O)(=O)N=[S](=O)(N[S](=O)(=O)C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,acetonitrile,CC#N,4.34,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
74,74,CAS,174788-97-7,[O-][N+](=O)C1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=N[S](=O)(=O)C(F)(F)F)C2=CC=C(Cl)C=C2,acetonitrile,CC#N,3.62,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
75,75,CAS,215395-06-5,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O,acetonitrile,CC#N,9.71,MeCN_Acids_COSMO-RS_2008_Table.pdf,"3-Nitro-4-chloro-4'-methyl[1,1'-iminobis(sulfonyl)bis(benzene)]",4-chloro-N-(4-methylphenyl)sulfonyl-3-nitrobenzenesulfonamide
76,76,CAS,215395-07-6,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C(F)(F)F,acetonitrile,CC#N,6.17,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,4-methyl-N-(trifluoromethylsulfonyl)benzenesulfonamide
77,77,CAS,2618-96-4,C1=CC=C(C=C1)S(=O)(=O)NS(=O)(=O)C2=CC=CC=C2,acetonitrile,CC#N,11.34,MeCN_Acids_COSMO-RS_2008_Table.pdf,2618-96-4,N-(benzenesulfonyl)benzenesulfonamide
78,78,CAS,2725-55-5,C1=CC(=CC=C1S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)Cl)Cl,acetonitrile,CC#N,10.2,MeCN_Acids_COSMO-RS_2008_Table.pdf,2725-55-5,4-chloro-N-(4-chlorophenyl)sulfonylbenzenesulfonamide
79,79,CAS,3695-00-9,CC1=CC=C(C=C1)S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)C,acetonitrile,CC#N,11.97,MeCN_Acids_COSMO-RS_2008_Table.pdf,3695-00-9,4-methyl-N-(4-methylphenyl)sulfonylbenzenesulfonamide
80,80,CAS,7/6/09,no matches,acetonitrile,CC#N,8.19,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
81,81,CAS,500721-87-9,COC1=CC=C(C=C1)C(N[S](=O)(=O)C(F)(F)F)=N[S](=O)(=O)C(F)(F)F,acetonitrile,CC#N,6.41,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
82,82,CAS,500721-89-1,CC1=CC=C(C=C1)C(N[S](=O)(=O)C(F)(F)F)=N[S](=O)(=O)C(F)(F)F,acetonitrile,CC#N,6.19,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
83,83,CAS,500721-91-5,FC(F)(F)[S](=O)(=O)NC(=N[S](=O)(=O)C(F)(F)F)C1=CC=CC=C1,acetonitrile,CC#N,6.04,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
84,84,CAS,500721-93-7,FC1=CC=C(C=C1)C(N[S](=O)(=O)C(F)(F)F)=N[S](=O)(=O)C(F)(F)F,acetonitrile,CC#N,5.66,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
85,85,CAS,500721-95-9,FC(F)(F)[S](=O)(=O)NC(=N[S](=O)(=O)C(F)(F)F)C1=CC=C(Cl)C=C1,acetonitrile,CC#N,5.56,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
86,86,CAS,500721-97-1,[O-][N+](=O)C1=CC=C(C=C1)C(N[S](=O)(=O)C(F)(F)F)=N[S](=O)(=O)C(F)(F)F,acetonitrile,CC#N,5.13,MeCN_Acids_COSMO-RS_2008_Table.pdf,N-(Trifluoromethylsulfonyl)-alpha-(trifluoromethylsulfonylimino)-4-nitrobenzylamineanion,"4-nitro-N,N'-bis(trifluoromethylsulfonyl)benzenecarboximidamide"
87,87,CAS,69173-28-0,CC1=CC=C(C=C1)[S](=O)(=O)N[S](=O)(=O)C2=CC=C(Cl)C=C2,acetonitrile,CC#N,11.1,MeCN_Acids_COSMO-RS_2008_Table.pdf,"4-Methyl-4'-chloro[1,1'-iminobis(sulfonyl)bis(benzene)]",N-(4-chlorophenyl)sulfonyl-4-methylbenzenesulfonamide
88,88,CAS,95468-16-9,C1=CC(=CC(=C1)S(=O)(=O)NS(=O)(=O)C2=CC=C(C=C2)Cl)[N+](=O)[O-],acetonitrile,CC#N,9.17,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,N-(4-chlorophenyl)sulfonyl-3-nitrobenzenesulfonamide
89,89,CAS,39077-43-5,C1=CC=C(C=C1)NC2=C(C(=NC(=C2F)F)F)F,acetonitrile,CC#N,26.34,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,"2,3,5,6-tetrafluoro-N-phenylpyridin-4-amine"
90,90,CAS,80588-34-7,CN(C)C1=C(F)C(=C(NC2=C(F)C(=C(F)C(=C2F)F)F)C(=C1F)F)F,acetonitrile,CC#N,25.12,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
91,91,CAS,80588-36-9,CC1=C(F)C(=C(NC2=C(F)C(=C(F)C(=C2F)F)F)C(=C1F)F)F,acetonitrile,CC#N,24.94,MeCN_Acids_COSMO-RS_2008_Table.pdf,"N-(Pentafluorophenyl)-4-methyl-2,3,5,6-tetrafluoroaniline","2,3,5,6-tetrafluoro-4-methyl-N-(2,3,4,5,6-pentafluorophenyl)aniline"
92,92,CAS,133213-11-3,NC1=C(C=C(C=C1[S](F)(=O)=O)[S](F)(=O)=O)[S](F)(=O)=O,acetonitrile,CC#N,19.66,MeCN_Acids_COSMO-RS_2008_Table.pdf,-,-
93,93,name,Trinitromethane,C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],acetonitrile,CC#N,7.3,MeCN_Acids_COSMO-RS_2008_Table.pdf,517-25-9,trinitromethane
94,94,name,1-(4-Nitrophenyl)-1-nitropropane,CCC(C1=CC=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,acetonitrile,CC#N,23.9,MeCN_Acids_COSMO-RS_2008_Table.pdf,126661-13-0,1-nitro-4-(1-nitropropyl)benzene
95,95,name,1-(4-Nitrophenyl)-2-methyl-1-nitropropane,CC(C)C(C1=CC=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,acetonitrile,CC#N,25.9,MeCN_Acids_COSMO-RS_2008_Table.pdf,126661-11-8,1-(2-methyl-1-nitropropyl)-4-nitrobenzene
96,96,name,"1,2-Dicyanocyclopentadiene",N#CC1=C(C=CC1)C#N,acetonitrile,CC#N,10.17,MeCN_Acids_COSMO-RS_2008_Table.pdf,N#CC1=C(C#N)C=CC1,"cyclopenta-1,3-diene-1,2-dicarbonitrile"
97,97,name,"1,2,3-Tricyanocyclopentadiene",N#CC1=C(C#N)C(=CC1)C#N,acetonitrile,CC#N,1.44,MeCN_Acids_COSMO-RS_2008_Table.pdf,SCHEMBL11360517,"cyclopenta-1,3-diene-1,2,3-tricarbonitrile"
