,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source
18,c1c(nc[nH]1)CC[NH3+:8],O,0,0,9.7,['9.7'],['hunt_et_al']
19,CC[C@H]1C[N@@H+:22]2CC[C@H]1C[C@H]2[C@@H](c3ccnc4c3cc(cc4)OC)O,O,0,0,9.1,['9.1'],['hunt_et_al']
20,CC[C@H]1C[N@@H+]2CC[C@H]1C[C@H]2[C@@H](c3cc[nH+:21]c4c3cc(cc4)OC)O,O,0,0,4.1,['4.1'],['hunt_et_al']
21,C[NH+:21](C)CCCN1c2ccccc2CCc3c1cccc3,O,0,0,9.6,['9.6'],['hunt_et_al']
22,C[C@@H](CCc1ccccc1)NC[C@@H](c2ccc(c(c2)C(=O)N)[OH:23])O,O,0,0,7.3,['7.3'],['hunt_et_al']
23,CC[NH+:16](CC)CC(=O)Nc1c(cccc1C)C,O,0,0,7.9,['7.9'],['hunt_et_al']
24,C[NH2+:21]CCCC12CCC(c3c1cccc3)c4c2cccc4,O,0,0,10.3,['10.3'],['hunt_et_al']
25,C[NH+:6](CCCl)CCCl,O,0,0,6.4,['6.4'],['hunt_et_al']
26,CC(C)NC[C@@H](c1cc(cc(c1)O)[OH:13])O,O,0,0,9.9,['9.9'],['hunt_et_al']
27,CC(C)[NH2+:16]C[C@H](COc1ccc(cc1)CCOC)O,O,0,0,9.6,['9.6'],['hunt_et_al']
28,c1cc(c(cc1Cl)Cl)CO[C@H](Cn2cc[nH+:19]c2)c3ccc(cc3Cl)Cl,O,0,0,6.4,['6.4'],['hunt_et_al']
29,C[N@H+:18]1CC[C@]23c4c5ccc(c4O[C@H]2[C@H](C=C[C@H]3[C@H]1C5)O)O,O,0,0,8.2,['8.2'],['hunt_et_al']
30,CC[NH+:25](CC)CCOC(=O)[C@@H](Cc1cccc2c1cccc2)C[C@@H]3CCCO3,O,0,0,9.1,['9.1'],['hunt_et_al']
31,C[N@H+:18]1CCO[C@H](c2ccccc2C1)c3ccccc3,O,0,0,8.5,['8.5'],['hunt_et_al']
32,c1cc(c[nH+:7]c1)C(=O)O,O,0,0,4.8,['4.8'],['hunt_et_al']
33,C[N@@H+:12]1CCC[C@H]1c2cccnc2,O,0,0,8.1,['8.1'],['hunt_et_al']
34,C[N@@H+]1CCC[C@H]1c2ccc[nH+:11]c2,O,0,0,3.2,['3.2'],['hunt_et_al']
35,CCN(CC)C(=O)c1ccc[nH+:11]c1,O,0,0,3.5,['3.5'],['hunt_et_al']
36,COc1ccc(cc1OC)Cc2c3cc(c(cc3cc[nH+:21]2)OC)OC,O,0,0,6.4,['6.4'],['hunt_et_al']
37,C[C@H](Cc1ccc(cc1)Cl)[NH3+:10],O,0,0,9.9,['9.9'],['hunt_et_al']
38,CCOc1ccc(cc1)N/C(=[NH+:19]/c2ccc(cc2)OCC)/C,O,0,0,9.3,['9.3'],['hunt_et_al']
39,c1ccc(cc1)C[C@H](C(=O)[O-])[NH3+:10],O,0,0,8.9,['8.9'],['hunt_et_al']
40,C[N@]1C(=C(c2ccccc2S1(=O)=O)O)C(=O)Nc3cccc[nH+:16]3,O,0,0,5.3,['5.3'],['hunt_et_al']
41,COc1cc2c(cc1OC)[nH+:20]c(nc2N)N3CCN(CC3)C(=O)c4ccco4,O,0,0,7.0,['7.0'],['hunt_et_al']
42,CC[NH+:15](CC)CCOC(=O)c1ccc(cc1)N,O,0,0,9.1,['9.1'],['hunt_et_al']
43,CC[NH+](CC)CCOC(=O)c1ccc(cc1)[NH3+:14],O,0,0,2.0,['2.0'],['hunt_et_al']
44,CC(C)[NH2+:17]C[C@H](COc1cccc2c1cccc2)O,O,0,0,9.6,['9.6'],['hunt_et_al']
45,COc1ccc2c(c1)c(ccn2)[C@H]([C@@H]3C[C@H]4CC[N@@H+:22]3C[C@@H]4C=C)O,O,0,0,8.5,['8.5'],['hunt_et_al']
46,CC(C)[NH2+:14]C[C@@H](c1ccc(cc1)[N-]S(=O)(=O)C)O,O,0,0,9.3,['9.3'],['hunt_et_al']
47,C1CC[N@@H+:17]2C[C@@H]3C[C@H]([C@H]2C1)C[N@@]4[C@H]3CCCC4,O,0,0,12.0,['12.0'],['hunt_et_al']
48,CCCCNc1ccc(cc1)C(=O)OCC[NH+:17](C)C,O,0,0,8.5,['8.5'],['hunt_et_al']
49,C[NH+:17](C)CC[N@@](Cc1ccsc1)c2ccccn2,O,0,0,8.9,['8.9'],['hunt_et_al']
50,c1ccn2c(c1)nn(c2=O)CCC[NH+:24]3CCN(CC3)c4cccc(c4)Cl,O,0,0,6.8,['6.8'],['hunt_et_al']
51,C[C@@H](CN1c2ccccc2CCc3c1cccc3)C[NH+:22](C)C,O,0,0,9.4,['9.4'],['hunt_et_al']
52,c1ccc2c(c1)c(c[nH]2)C[C@H](C(=O)[O-])[NH3+:13],O,0,0,9.1,['9.1'],['hunt_et_al']
53,CC(C(F)(F)F)(C(F)(F)F)[OH:5],O,0,0,9.6,['9.6'],['hunt_et_al']
54,CC(C)(C(F)(F)F)[OH:5],O,0,0,11.6,['11.6'],['hunt_et_al']
55,C[C@H](C(F)(F)F)[OH:4],O,0,0,11.8,['11.8'],['hunt_et_al']
56,C(C[SH:9])NC(=O)NCCS,O,0,0,9.26,['9.26'],['hunt_et_al']
57,C(CCS)C[SH:5],O,0,0,9.88,['9.88'],['hunt_et_al']
58,C(C(F)(F)F)[SH:6],O,0,0,7.3,['7.3'],['hunt_et_al']
59,C(C(F)(F)F)[OH:3],O,0,0,12.8,['12.8'],['hunt_et_al']
60,C[C@@H](C(=O)[OH:11])Oc1cc(c(cc1Cl)Cl)Cl,O,0,0,2.84,['2.84'],['hunt_et_al']
61,C(C(Cl)Cl)[OH:3],O,0,0,12.89,['12.89'],['hunt_et_al']
62,c1c(c(c(c(c1Cl)Cl)Cl)Cl)[OH:7],O,0,0,6.35,['6.35'],['hunt_et_al']
63,c1c(c(c(c(c1Cl)Cl)Cl)[OH:7])Cl,O,0,0,5.22,['5.22'],['hunt_et_al']
64,c1c(c(c(c(c1Cl)Cl)[OH:7])Cl)Cl,O,0,0,5.14,['5.14'],['hunt_et_al']
65,c1cc(c(c(c1Cl)CC(=O)[OH:10])Cl)Cl,O,0,0,3.7,['3.7'],['hunt_et_al']
66,Cc1cc(c(c(c1)[OH:10])C)C,O,0,0,10.7,['10.7'],['hunt_et_al']
67,c1cc(c(c(c1Cl)[OH:7])Cl)Cl,O,0,0,5.8,['5.8'],['hunt_et_al']
68,c1cc(c(cc1Cl)Cl)OCCCC(=O)[OH:12],O,0,0,4.1,['4.1'],['hunt_et_al']
69,C(C[SH:4])N,O,0,0,8.3,['8.3'],['hunt_et_al']
70,C(C[SH:4])[NH3+],O,0,0,8.3,['8.3'],['hunt_et_al']
71,c1ccc(c(c1)N)[SH:8],O,0,0,6.59,['6.59'],['hunt_et_al']
72,C(CCl)[OH:3],O,0,0,14.31,['14.31'],['hunt_et_al']
73,c1ccc(c(c1)C#N)[OH:9],O,0,0,6.98,['6.98'],['hunt_et_al']
74,c1c(cc(c(c1C2CCCCC2)[OH:19])N(=O)=O)N(=O)=O,O,0,0,4.52,['4.52'],['hunt_et_al']
75,CCOCC[SH:6],O,0,0,9.38,['9.38'],['hunt_et_al']
76,c1c(cc(c(c1C(=O)[OH:16])O)N(=O)=O)N(=O)=O,O,0,0,0.7,['0.7'],['hunt_et_al']
77,CC(C)c1ccccc1[OH:10],O,0,0,10.47,['10.47'],['hunt_et_al']
78,CC(C)(CO)[SH:6],O,0,0,9.85,['9.85'],['hunt_et_al']
79,C(CS(=O)(=O)O)[SH:6],O,0,0,9.2,['9.2'],['hunt_et_al']
80,C(CS(=O)(=O)[O-])[SH:6],O,0,0,9.2,['9.2'],['hunt_et_al']
81,c1c(c(=O)[nH]c(=O)[nH]1)[SH:9],O,0,0,5.3,['5.3'],['hunt_et_al']
82,c1c(c(=O)[n-]c(=O)[nH]1)[SH:9],O,0,0,5.3,['5.3'],['hunt_et_al']
83,CCC(C)(C)[SH:6],O,0,0,11.22,['11.22'],['hunt_et_al']
84,c1ccnc(c1)C[SH:8],O,0,0,8.82,['8.82'],['hunt_et_al']
85,CC(C)[SH:4],O,0,0,10.86,['10.86'],['hunt_et_al']
86,CC(C)c1cccc(c1)[OH:10],O,0,0,10.1,['10.1'],['hunt_et_al']
87,CC[C@](C)([C@@H](C(=O)O)N)[SH:10],O,0,0,8.1,['8.1'],['hunt_et_al']
88,CC[C@](C)([C@@H](C(=O)[O-])[NH3+])[SH:10],O,0,0,8.1,['8.1'],['hunt_et_al']
89,C([C@@H](C[SH:6])O)O,O,0,0,9.46,['9.46'],['hunt_et_al']
90,C(CO)C[SH:5],O,0,0,10.19,['10.19'],['hunt_et_al']
91,C(C[SH:6])C(=O)O,O,0,0,10.27,['10.27'],['hunt_et_al']
92,C(C[SH:6])C(=O)[O-],O,0,0,10.27,['10.27'],['hunt_et_al']
93,c1cc(cc(c1)[SH:10])N(=O)=O,O,0,0,5.24,['5.24'],['hunt_et_al']
94,c1ccc(cc1)C#CC[OH:10],O,0,0,13.87,['13.87'],['hunt_et_al']
95,c1cc(cc(c1)[SH:10])C(=O)O,O,0,0,6.2,['6.2'],['hunt_et_al']
96,c1cc(cc(c1)[SH:10])C(=O)[O-],O,0,0,6.2,['6.2'],['hunt_et_al']
97,C(C[SH:5])C#N,O,0,0,8.6,['8.6'],['hunt_et_al']
98,c1cc(ccc1OCC(=O)[OH:10])Cl,O,0,0,3.18,['3.18'],['hunt_et_al']
99,c1cc(ccc1[SH:7])Cl,O,0,0,7.7,['7.7'],['hunt_et_al']
100,CCOc1ccc(cc1)[OH:9],O,0,0,10.3,['10.3'],['hunt_et_al']
101,COc1ccc(cc1)[SH:9],O,0,0,6.77,['6.77'],['hunt_et_al']
102,Cc1ccc(cc1)[SH:8],O,0,0,6.82,['6.82'],['hunt_et_al']
103,CC[C@H](C)c1ccc(c(c1)N(=O)=O)[OH:14],O,0,0,7.59,['7.59'],['hunt_et_al']
104,C=CC[SH:4],O,0,0,9.96,['9.96'],['hunt_et_al']
105,Cn1c(c(cn1)c2nnn(n2)C)S(=O)(=O)[NH:23]C(=O)Nc3nc(cc(n3)OC)OC,O,0,0,3.6,['3.6'],['hunt_et_al']
106,c1cc2c(c(c1)Cl)n(c(=O)s2)CC(=O)[OH:13],O,0,0,3.04,['3.04'],['hunt_et_al']
107,c1ccc(cc1)C(=O)N[OH:10],O,0,0,8.88,['8.88'],['hunt_et_al']
108,c1ccc(cc1)C[OH:8],O,0,0,15.44,['15.44'],['hunt_et_al']
109,c1ccc(cc1)C[SH:8],O,0,0,9.43,['9.43'],['hunt_et_al']
110,C[C@@H](CC(=O)[OH:6])O,O,0,0,4.7,['4.7'],['hunt_et_al']
111,COc1cc(nc(n1)Oc2cccc(c2C(=O)[OH:25])Oc3nc(cc(n3)OC)OC)OC,O,0,0,3.55,['3.55'],['hunt_et_al']
112,c1cc(c(cc1N(=O)=O)N(=O)=O)O/N=C/c2cc(c(c(c2)Br)[OH:21])Br,O,0,0,5.46,['5.46'],['hunt_et_al']
113,CCCC(=O)O[OH:6],O,0,0,8.2,['8.2'],['hunt_et_al']
114,CCCCOC(=O)c1ccc(cc1)[OH:13],O,0,0,8.47,['8.47'],['hunt_et_al']
115,c1ccc(cc1)[C@H](c2ccc(cc2)Cl)N3CCN(CC3)CCOCC(=O)[OH:25],O,0,0,3.0,['3.0'],['hunt_et_al']
116,c1ccc(cc1)[C@H](c2ccc(cc2)Cl)N3CC[NH+:22](CC3)CCOCC(=O)O,O,0,0,7.95,['7.95'],['hunt_et_al']
117,c1ccc(cc1)[C@H](c2ccc(cc2)Cl)N3CC[NH+:22](CC3)CCOCC(=O)[O-],O,0,0,7.95,['7.95'],['hunt_et_al']
118,c1ccc(cc1)[C@H](c2ccc(cc2)Cl)N3CC[NH+](CC3)CCOCC(=O)[OH:25],O,0,0,3.0,['3.0'],['hunt_et_al']
119,[H]/N=C(/N)\SCCc1cccc(c1)CCSC(=[NH2+:13])N,O,0,0,11.0,['11.0'],['hunt_et_al']
120,CCCOC(c1ccccc1)(c2ccccc2)C(=O)OC3CC[NH+:24](CC3)C,O,0,0,6.65,['6.65'],['hunt_et_al']
121,CC[NH+:18](CC)CCNC(=O)c1ccc(cc1)NC(=O)C,O,0,0,9.14,['9.14'],['hunt_et_al']
122,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[N@H+:40]1C[C@H]([C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4)O,O,0,0,7.14,['7.14'],['hunt_et_al']
123,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)[OH:26])O)O)O,O,0,0,4.7,['4.7'],['hunt_et_al']
124,COc1cc[nH+:21]c(c1)NC2CCN(CC2)C(=O)c3ccc(cc3)C#N,O,0,0,7.1,['7.1'],['hunt_et_al']
125,c1ccc(cc1)SCc2cccc[nH+:13]2,O,0,0,3.8,['3.8'],['hunt_et_al']
126,CC[NH+:14](CC)[C@H](C)C(=O)c1ccccc1,O,0,0,8.8,['8.8'],['hunt_et_al']
127,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)CSCC#N)OC)SC2)C(=O)[OH:26],O,0,0,3.37,['3.37'],['hunt_et_al']
128,Cc1c(c(n(n1)c2ccccc2)NC(=O)[NH:23]S(=O)(=O)c3ccc(cc3)Cl)C#N,O,0,0,2.3,['2.3'],['hunt_et_al']
129,c1cc2c(c(c1)F)C(=[NH+:13][C@@H](N2)c3cccs3)N,O,0,0,8.73,['8.73'],['hunt_et_al']
130,Cc1cc([nH+:18]c(c1)N)CCNC(=O)c2ccc(cc2)C#N,O,0,0,7.1,['7.1'],['hunt_et_al']
131,CCOC(=O)N1CCC(CC1)Nc2cc(cc[nH+:14]2)Cl,O,0,0,5.3,['5.3'],['hunt_et_al']
132,CCOC(=O)N1CCC(CC1)[NH2+:16]c2cc(ccn2)Cl,O,0,0,5.3,['5.3'],['hunt_et_al']
133,C(CCCC(=O)[OH:12])CCCC(=O)O,O,0,0,3.49,['3.49'],['hunt_et_al']
134,c1ccc2c(c1)CCC[C@H]2C3=[NH+:14]CCN3,O,0,0,10.6,['10.6'],['hunt_et_al']
135,COc1ccc2c(c1)c(ccn2)[C@@H]([C@H]3C[C@@H]4CC[N@H+:22]3C[C@@H]4C=C)O,O,0,0,8.05,['8.05'],['hunt_et_al']
136,c1ccnc(c1)c2[nH+:18]c(c(c(n2)N)Cc3ccc(cc3Cl)Cl)N,O,0,0,5.58,['5.58'],['hunt_et_al']
137,CC(C)[NH2+:16]C[C@H](COc1ccc(cc1)CCOC)O,O,0,0,9.7,['9.7'],['hunt_et_al']
138,c1cc(c(c(c1)Cl)NC2=[NH+:10]CCN2)Cl,O,0,0,8.05,['8.05'],['hunt_et_al']
139,CCC(=O)N[C@@H](c1cccs1)c2cc(c3cccnc3c2[OH:21])Cl,O,0,0,8.19,['8.19'],['hunt_et_al']
140,CCC(=O)N[C@@H](c1cccs1)c2cc(c3ccc[nH+:18]c3c2O)Cl,O,0,0,2.5,['2.5'],['hunt_et_al']
141,CCC[C@@H]1C[C@H]([N@@H+:19](C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@@H](C)O,O,0,0,7.65,['7.65'],['hunt_et_al']
142,CC(=O)C[C@H](c1ccccc1)c2c(c3ccccc3oc2=O)[OH:23],O,0,0,5.1,['5.1'],['hunt_et_al']
143,CN(C)[C@@H]1CCc2c(ccc(c2O)[OH:14])C1,O,0,0,8.85,['8.85'],['hunt_et_al']
144,CN(C)[C@@H]1CCc2c(ccc(c2[OH:15])O)C1,O,0,0,8.85,['8.85'],['hunt_et_al']
145,C[NH+:13](C)[C@@H]1CCc2c(ccc(c2O)O)C1,O,0,0,10.5,['10.5'],['hunt_et_al']
146,C[NH+](C)[C@@H]1CCc2c(ccc(c2O)[OH:14])C1,O,0,0,8.85,['8.85'],['hunt_et_al']
147,C[NH+](C)[C@@H]1CCc2c(ccc(c2[OH:15])O)C1,O,0,0,8.85,['8.85'],['hunt_et_al']
148,CCCSc1ccc2c(c1)[nH]c(n2)[NH:15]C(=O)OC,O,0,0,10.5,['10.5'],['hunt_et_al']
149,CCCSc1ccc2c(c1)[nH]c([nH+:13]2)NC(=O)OC,O,0,0,5.88,['5.88'],['hunt_et_al']
150,CCCSc1ccc2c(c1)[nH]c([nH+:13]2)[N-]C(=O)OC,O,0,0,10.5,['10.5'],['hunt_et_al']
151,CCCSc1ccc2c(c1)[nH]c([nH+]2)[NH:15]C(=O)OC,O,0,0,5.88,['5.88'],['hunt_et_al']
152,CC1=C([C@@H](C(=C(N1)C)C(=O)OCC[N@@H+:29](C)Cc2ccccc2)c3cccc(c3)N(=O)=O)C(=O)OC,O,0,0,7.26,['7.26'],['hunt_et_al']
153,c1ccc(cc1)CSc2[nH]c3ccccc3[nH+:15]2,O,0,0,4.2,['4.2'],['hunt_et_al']
154,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)NC(=O)N4CCNC4=O)C(=O)[OH:31])C,O,0,0,2.41,['2.41'],['hunt_et_al']
155,CC\1=C(c2cc(ccc2/C1=C\c3ccc(cc3)[S@@](=O)C)F)CC(=O)[OH:23],O,0,0,3.9,['3.9'],['hunt_et_al']
156,Cn1c(nc(=O)c(n1)O)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)[OH:32],O,0,0,2.7,['2.7'],['hunt_et_al']
157,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N/OC)/c3csc(n3)N)SC1)C(=O)[OH:26],O,0,0,3.35,['3.35'],['hunt_et_al']
158,C[NH+:20](C)CC/C=C/1\c2ccccc2COc3c1cccc3,O,0,0,8.0,['8.0'],['hunt_et_al']
159,c1ccc(cc1)C(=O)N2CC[NH+:23](CC2)Cc3cc(ccc3OCC(=O)O)C(F)(F)F,O,0,0,6.9,['6.9'],['hunt_et_al']
160,c1ccc(cc1)S(=O)(=O)C2CC[NH+:21](CC2)Cc3cc(ccc3OCC(=O)O)Cl,O,0,0,7.8,['7.8'],['hunt_et_al']
161,c1ccc(cc1)S(=O)(=O)C2CC[NH+:21](CC2)Cc3cc(ccc3OCC(=O)[O-])Cl,O,0,0,7.8,['7.8'],['hunt_et_al']
162,CC(C)(C)c1ccc(cc1)[C@H](CCC[NH+:33]2CCC(CC2)C(c3ccccc3)(c4ccccc4)O)O,O,0,0,8.8,['8.8'],['hunt_et_al']
163,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/c3csc(n3)N)SC1)C(=O)[OH:26],O,0,0,3.75,['3.75'],['hunt_et_al']
164,c1ccc(cc1)[C@@H](CC[NH3+:18])Oc2cc(ccc2C#N)Cl,O,0,0,10.3,['10.3'],['hunt_et_al']
165,Cn1c2c(c(=O)n(c1=O)C)n(cn2)CC[NH+:16](C)C,O,0,0,7.5,['7.5'],['hunt_et_al']
166,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)N)C(=O)[OH:23])C,O,0,0,2.51,['2.51'],['hunt_et_al']
167,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)[NH3+:18])C(=O)O)C,O,0,0,7.7,['7.7'],['hunt_et_al']
168,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)[NH3+:18])C(=O)[O-])C,O,0,0,7.7,['7.7'],['hunt_et_al']
169,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)[NH3+])C(=O)[OH:23])C,O,0,0,2.51,['2.51'],['hunt_et_al']
170,CCOC(=O)N1CCC2(CC1)Nc3cccc(c3C(=[NH+:16]2)N)F,O,0,0,9.1,['9.1'],['hunt_et_al']
171,c1ccc(cc1)[C@H](C[NH3+:15])Oc2cc(ccc2Cl)Cl,O,0,0,8.5,['8.5'],['hunt_et_al']
172,c1cc(c[nH+:9]c1)/C=C/C(=O)O,O,0,0,4.4,['4.4'],['hunt_et_al']
173,c1cc(c[nH+]c1)/C=C/C(=O)[OH:11],O,0,0,4.4,['4.4'],['hunt_et_al']
174,CCS(=O)(=O)c1ccc(c(c1)Cl)c2cc(ccc2OCC(=O)[OH:20])Cl,O,0,0,3.4,['3.4'],['hunt_et_al']
175,CC[C@H](C(=O)[OH:24])Oc1ccc(cc1c2ccc(cc2C)S(=O)(=O)CC)C(F)(F)F,O,0,0,3.4,['3.4'],['hunt_et_al']
176,CC[C@H](CC[NH2+:15]C)Oc1cc(ccc1C#N)Cl,O,0,0,10.1,['10.1'],['hunt_et_al']
177,C[NH2+:19]CC[C@H](c1ccccc1)Oc2cc(ccc2C#N)Cl,O,0,0,9.9,['9.9'],['hunt_et_al']
178,c1ccc(cc1)[C@@H](CC[NH3+:18])Oc2cc(c(cc2C#N)F)Cl,O,0,0,9.6,['9.6'],['hunt_et_al']
179,c1cc(nc(c1C#N)O[C@H](CC[NH3+:17])c2ccno2)C(F)(F)F,O,0,0,9.5,['9.5'],['hunt_et_al']
180,C[NH2+:20]CC[C@H](c1ccccc1)Oc2cc(ccc2C#N)C(F)(F)F,O,0,0,10.4,['10.4'],['hunt_et_al']
181,C[NH2+:20]CC[C@H](c1ccccc1)Oc2cc(ccc2C#N)OC,O,0,0,10.2,['10.2'],['hunt_et_al']
182,CN/C(=C\N(=O)=O)/NCCSCc1ccc(o1)C[NH+:17](C)C,O,0,0,8.47,['8.47'],['hunt_et_al']
183,CN(C)S(=O)(=O)c1ccc(cc1)CC(=O)N(C)C2CC[NH+:32](CC2)CCC(c3ccccc3)c4ccccc4,O,0,0,8.1,['8.1'],['hunt_et_al']
184,CC1=NS(=O)(=O)c2cc(ccc2[NH:10]1)Cl,O,0,0,8.42,['8.42'],['hunt_et_al']
185,Cc1cc(nn1C[C@@H](C[NH3+:25])O)c2ccc(c(c2)C(=O)NCC3(CCCCCC3)O)Cl,O,0,0,8.6,['8.6'],['hunt_et_al']
186,c1cc(oc1)Cn2cc(c(=O)[nH:12]c2=O)C#N,O,0,0,6.1,['6.1'],['hunt_et_al']
187,Cn1c2c(c(=O)n(c1=O)C)nc[nH:9]2,O,0,0,8.51,['8.51'],['hunt_et_al']
188,C[C@H](c1ccc(cc1)CC(C)C)C(=O)[NH:15]S(=O)(=O)C,O,0,0,4.7,['4.7'],['hunt_et_al']
189,CCC(CC)NC(=O)c1cnn(c1[NH:23]S(=O)(=O)C2CCCC2)c3ccccc3,O,0,0,4.5,['4.5'],['hunt_et_al']
190,CCC(CC)NC(=O)c1c(nn(c1[NH:26]S(=O)(=O)c2ccc(cc2)C)c3ccccc3)C,O,0,0,4.2,['4.2'],['hunt_et_al']
191,Cc1ccc(cc1)S(=O)(=O)[NH:27]c2c(c(nn2c3ccccc3)C(F)(F)F)C(=O)N[C@@H](C)C(C)(C)C,O,0,0,3.8,['3.8'],['hunt_et_al']
192,Cc1c(c(n(n1)c2ccc(cc2)F)[NH:28]S(=O)(=O)c3ccc(cc3)C#N)C(=O)N[C@@H](C)C(C)(C)C,O,0,0,3.0,['3.0'],['hunt_et_al']
193,Cc1c(c(n(n1)c2ccc(cc2)F)[NH:27]S(=O)(=O)c3ccc(cc3)C(F)(F)F)C(=O)N[C@@H](C)C(C)(C)C,O,0,0,3.4,['3.4'],['hunt_et_al']
194,CCC(CC)NC(=O)c1c(nn(c1[NH:23]S(=O)(=O)c2ccc(cc2)C)C(C)C)C,O,0,0,4.7,['4.7'],['hunt_et_al']
195,Cc1ccc(cc1)S(=O)(=O)[NH:24]c2c(c(nn2C(C)C)C)C(=O)N[C@@H](C)C(C)(C)C,O,0,0,4.5,['4.5'],['hunt_et_al']
196,Cc1ccc(cc1)S(=O)(=O)[NH:25]c2c(c(nn2C(C)(C)C)C)C(=O)N[C@@H](C)C(C)(C)C,O,0,0,5.5,['5.5'],['hunt_et_al']
197,c1cc2c(nc1)nc(nc2NCc3ccc(cc3Cl)Cl)N4CCN(CC4)C(=O)[C@H]5CCCC[NH2+:28]5,O,0,0,9.0,['9.0'],['hunt_et_al']
198,c1ccc(c(c1)Nc2nnc(o2)C(=O)[NH:24]c3ccc(c(c3)F)N4CCOCC4)F,O,0,0,8.61,['8.61'],['hunt_et_al']
199,c1ccc(c(c1)Nc2nnc(o2)C(=O)Nc3ccc(c(c3)F)[NH+:22]4CCOCC4)F,O,0,0,6.17,['6.17'],['hunt_et_al']
200,c1ccc2c(c1)N3CC[NH+:18]=C3N2CC(=O)c4ccc(cc4)Cl,O,0,0,9.1,['9.1'],['hunt_et_al']
201,Cc1cccnc1C[S@](=O)c2[nH:20]c3cc(c(cc3n2)C(=O)OC)C,O,0,0,8.1,['8.1'],['hunt_et_al']
