,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source (all),Acid type,Solvent name
46,O=C(NC[C@@H](O)C[NH+]1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]nc1C(F)(F)F,O,0,0,8.35,"[9.1, 7.6]","[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997. ,   Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
47,OCCc1ccccc1,O,0,0,15.48,[15.48],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",hydroxyl alcohol,water
48,CC[N@@H+](CC[N+]1(C)CCCCC1)c1ccccc1,O,0,0,2.77,[2.77],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
49,N#Cc1ccc(C[C@@H](C(=O)[O-])N2CCC(C[NH+]3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,O,0,0,8.9,[8.9],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
50,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C(F)(F)F)nn2-c2ccccc2)cc1,O,0,0,3.8,[3.8],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",amine,water
51,Oc1cc2ccccc2cn1,O,0,0,9.62,[9.62],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
52,N#CC(C#N)C#N,O,454-50-2,methanetricarbonitrile,-5.1,[-5.1],"[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",C-H acid,water
53,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2OCCCl)n1,O,0,0,4.64,[4.64],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",amine,water
54,CC(C)(C)C(=O)O,O,0,0,5.03,[5.03],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
55,COc1ccc([NH3+])c([N+](=O)[O-])c1,O,0,0,0.77,[0.77],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
56,CCC(=O)N[C@@H](c1cccs1)c1cc(Cl)c2cccnc2c1O,O,0,0,8.19,[8.19],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
57,O=C(c1cccc(C(F)(F)F)c1)N(O)c1ccccc1,O,0,0,8.15,[8.15],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",acidic hydroxyl,water
58,CCOC(=O)c1cc(O)cc2ccccc12,O,0,0,8.89,[8.89],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
59,CCNP(=N[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,O,-,[[bis(dimethylamino)-(ethylamino)-_5-phosphanylidene]amino]-tris(dimethylamino)phosphanium,20,[20.0],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",amine,water
60,Sc1ccc(Br)cc1,O,0,0,6.02,[6.02],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",thiol,water
61,C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)[NH2+]1,O,0,0,6.31,[6.31],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
62,C1=CC=[N+]C=C1,CS(=O)C,16969-45-2,pyridin-1-ium,3.45,[3.45],"[Kutt et al., Tetrahedron Lett., 2018.]",protonated amine,DMSO
63,[NH3+]c1ccc(Cc2ccccc2)cc1,O,0,0,4.78,[4.78],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
64,C[NH2+]CCCCO,O,0,0,9.55,[9.55],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
65,Oc1c(Br)cccc1Br,O,0,0,6.67,[6.67],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
66,O=S(=O)(O)c1cc(Cl)ccc1Cl,CC#N,88-42-6,"2,5-dichlorobenzenesulfonic acid",6.2,[6.2],"[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.]",sulfonic acid,acetonitrile
67,CCN(CC)C(=O)[C@@H]1CCC[N@H+](Cc2ccc([N+](=O)[O-])cc2)C1,O,0,0,6.9,[6.9],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
68,COc1ccc2cc([NH3+])ccc2c1,O,0,0,4.64,[4.64],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
69,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,CC#N,728-40-5,"2,6-ditert-butyl-4-nitrophenol",19,[19.0],"[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.]",phenol,acetonitrile
70,C[NH+](C)CCN(Cc1ccccc1)c1ccccn1,O,0,0,8.96,[8.96],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
71,CC(C)[NH2+]C[C@H](O)c1ccc(S(C)(=O)=O)cc1,O,0,0,9.25,[9.25],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
72,C[C@H]1C[C@H](O[N+](=O)[O-])[C@@H]2CCCC[C@H]2[NH2+]1,O,0,0,9.36,[9.36],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
73,[NH3+]c1c(Cl)cccc1Cl,O,0,0,0.422,[0.422],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
74,O=C(O)c1ccccc1[N+](=O)[O-],CC#N,552-16-9,2-nitrobenzoic acid,18.2,[18.2],"[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.]",carboxylic acid,acetonitrile
75,[NH3+]c1cccc([N+](=O)[O-])c1,O,0,0,2.466,[2.466],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
76,OCCC(F)F,O,0,0,12.74,[12.74],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",hydroxyl alcohol,water
77,C[N@H+](c1ccccc1)C(C)(C)C,O,0,0,7.39,[7.39],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
78,CC(C)[NH2+]C[C@H](O)c1ccc([N+](=O)[O-])cc1,O,0,0,9.27,[9.27],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
79,COc1cc(OC)nc(Sc2cccc(Cl)c2C(=O)O)n1,O,0,0,2.34,[2.34],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
80,CCC[P@@H](=O)O,O,0,0,3.46,[3.46],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",acidic hydroxyl,water
81,O=S(=O)(Cc1ccc(C(F)(F)F)cc1)C(F)(F)F,CC#N,194222-97-4,1-(trifluoromethyl)-4-(trifluoromethylsulfonylmethyl)benzene,24.44,[24.44],"[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",C-H acid,acetonitrile
82,[NH3+]c1cccc(F)c1,O,0,0,3.5,[3.5],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
83,O=S1(=O)NS(=O)(=O)C(F)(F)C(F)(F)C1(F)F,C(CCl)Cl,84246-29-7,"4,4,5,5,6,6-hexafluoro-1,3,2-dithiazinane 1,1,3,3-tetraoxide",31.9,[31.9],"[Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",amine,DCE
84,C[C@@H]([NH3+])CC1CCCCC1,O,0,0,10.14,[10.14],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
85,[NH3+]c1cccc2c1-c1ccccc1C2,O,0,0,3.39,[3.39],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
86,[NH3+]Cc1ccco1,O,0,0,8.89,[8.89],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
87,C/C=C(\Cl)C(=O)O,O,0,0,2.8,[2.8],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
88,O=C(O)c1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,O,0,0,1.42,[1.42],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
89,O=S(=O)(F)c1cc(S(=O)(=O)F)c(O)c(S(=O)(=O)F)c1,C(CCl)Cl,882492-01-5,"2-hydroxybenzene-1,3,5-trisulfonyl fluoride",39,"[39.0, 39.0]","[Paenurk et al., Chem. Sci., 2017, 8, 6964-6973., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",phenol,DCE
90,C[NH+]1CCCCC1,CS(=O)C,-,1-methylpiperidin-1-ium,8.4,[8.4],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,DMSO
91,C1CC[NH2+]C1,C1CCOC1,84316-19-8,pyrrolidin-1-ium,13.5,[13.5],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,THF
92,CCC([NH3+])(CC)CC,O,0,0,10.59,[10.59],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
93,CNC(=O)CS,O,0,0,8.05,[8.05],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",thiol,water
94,C[NH2+]C[C@H](O)c1ccc(C2CCCCC2)cc1,O,0,0,9.01,[9.01],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
95,Nc1ccc2[nH+]ccnc2[nH+]1,O,0,0,-2,"[-2.0, -2.0]","[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997. ,   Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
96,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2[nH]c(=O)ccc12,O,0,0,10.5,[10.5],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",hydroxyl alcohol,water
97,Oc1c(F)c(F)cc(F)c1F,CC#N,769-39-1,"2,3,5,6-tetrafluorophenol",20.11,"[20.12, 20.1, 20.1, 20.12]","[Eckert et al., J. Comput. Chem., 2009, 30, 799-810., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",phenol,acetonitrile
98,O=C(O)c1c([N+](=O)[O-])cccc1[N+](=O)[O-],O,0,0,1.14,[1.14],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
99,CC[NH+](C)C,O,-,ethyl(dimethyl)azanium,10.095,"[9.99, 10.2]","[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748. ,   Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
100,O=C(O)c1ccccc1,C1CCOC1,65-85-0,benzoic acid,25.11,[25.11],"[Kutt et al., Tetrahedron Lett., 2018.]",carboxylic acid,THF
101,CN(C)C(=O)C(CC[NH+]1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,O,0,0,9.14,[9.14],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
102,CC[C@](CC(=O)OC)(C(=O)O)c1ccccc1,O,0,0,4.18,[4.18],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
103,O=C(O)C(F)(F)F,CC#N,76-05-1,"2,2,2-trifluoroacetic acid",12.65,[12.65],"[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.]",carboxylic acid,acetonitrile
104,c1ccc2c[nH+]ncc2c1,CC#N,,phthalazin-3-ium,11.55,[11.55],"[Lokov et al., Eur. J. Org. Chem., 2017, 30, 4475-4489.]",protonated amine,acetonitrile
105,CCCCC1=CCC[N@@H+]1C,O,0,0,11.84,[11.84],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
106,C[NH+]1CCOCC1,O,0,0,7.4,[7.4],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
107,O=C(O)C(Cl)Cl,CC#N,79-43-6,"2,2-dichloroacetic acid",13.2,[13.2],"[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.]",carboxylic acid,acetonitrile
108,NS(=O)(=O)c1ccc(Cl)cc1,CN(C)C=O,98-64-6,4-chlorobenzenesulfonamide,16.58,[16.58],"[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",amine,DMF
109,CCCCOC(=O)c1ccc(O)cc1,O,0,0,8.47,[8.47],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
110,CCC(=O)C(C[C@H](C)[NH+](C)C)(c1ccccc1)c1ccccc1,O,0,0,8.94,[8.94],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
111,CCOC(=O)C(C#N)c1c(F)c(F)cc(F)c1F,CC#N,55852-22-7,"ethyl 2-cyano-2-(2,3,5,6-tetrafluorophenyl)acetate",18.07666667,"[18.08, 18.08, 18.07]","[Paenurk et al., Chem. Sci., 2017, 8, 6964-6973., Eckert et al., J. Comput. Chem., 2009, 30, 799-810., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",C-H acid,acetonitrile
112,CCc1ccc([NH3+])cc1,O,0,0,5,[5.0],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
113,Oc1c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c1C(F)(F)F,CC#N,723294-91-5,"2,3,4,5,6-pentakis(trifluoromethyl)phenol",10.46,"[10.46, 10.46, 10.46, 10.46, 10.46]","[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.,  Kutt et al., J. Org. Chem., 2011, 76, 391-395., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",phenol,acetonitrile
114,O=C(O)COCC[NH+]1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,O,0,0,5.475,"[3.0, 7.95]","[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997. ,   Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
115,CC(C)[NH+]1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1,O,0,0,8.26,[8.26],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
116,CC[NH+](CC)CCCCC(c1ccccc1)c1ccccc1,O,0,0,10.1,[10.1],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
117,C[C@H]([NH3+])c1cccc([N+](=O)[O-])c1,O,0,0,8.56,[8.56],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
118,CN(C)c1cccc2cccc([NH+](C)C)c12,O,-,[8-(dimethylamino)naphthalen-1-yl]-dimethylazanium,12,[12.0],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,water
119,CCOC(=O)C(C#N)c1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,CC#N,62325-34-2,"ethyl 2-cyano-2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetate",17.495,"[17.5, 17.5, 17.5, 17.48]","[Paenurk et al., Chem. Sci., 2017, 8, 6964-6973., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973., Eckert et al., J. Comput. Chem., 2009, 30, 799-810., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",C-H acid,acetonitrile
120,O=C(NCCc1ccccc1Cl)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,O,0,0,6.1,[6.1],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",amine,water
121,CC(C)(C)[NH2+]C[C@H](O)c1ccc(O)c(CO)c1,O,0,0,9.3,[9.3],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
