Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source (all)
C(#N)C(C#N)C1=C(C(=C(C(=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,CC#N,1018330-44-3,"2-[2,3,4,5,6-pentakis(trifluoromethyl)phenyl]propanedinitrile",8.86,"[8.86, 8.86, 8.86]","['DCE_2011_pKa_Table_MeCN.pdf', 'a_unified_view_to_bronsted_acidity_scales.pdf', 'leito_acids']"
C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,C(CCl)Cl,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",44.2,"[44.2, 44.2]","['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,CS(=O)C,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",1.7,[1.7],['a_unified_view_to_bronsted_acidity_scales.pdf']
C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F,CC#N,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",10.19,"[10.19, 10.19, 10.19, 10.19, 10.19, 10.19]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'DCE_2011_pKa_Table_MeCN.pdf', 'a_unified_view_to_bronsted_acidity_scales.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C(#N)C(C#N)C1=C(C(=C(C(=C1F)F)F)F)F,CC#N,719-38-0,"2-(2,3,4,5,6-pentafluorophenyl)propanedinitrile",13.01,"[13.01, 13.01, 13.01, 13.01]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C(#N)C(C#N)C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F,CC#N,62325-35-3,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)propanedinitrile",12.23,"[12.23, 12.23, 12.23, 12.23]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'a_unified_view_to_bronsted_acidity_scales.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C(#N)C(C#N)C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F,C(CCl)Cl,62325-35-3,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)propanedinitrile",46.3,"[46.3, 46.3]","['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C(#N)C(C#N)S(=O)(=O)C(F)(F)F,C(CCl)Cl,278796-64-8,2-(trifluoromethylsulfonyl)propanedinitrile,33.5,[33.5],['leito_acids']
C(#N)C(C1=C(C(=C(C(=C1F)F)C(F)(F)F)F)F)C2=C(C(=C(C(=C2F)F)C(F)(F)F)F)F,CC#N,58432-55-6,"2,2-bis[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetonitrile",16.125,"[16.12, 16.13]","['pKa_values_of_acids_in_acetonitrile.pdf', 'leito_acids']"
C(#N)C(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2Cl)F)Cl)F)Cl,CC#N,64934-69-6,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,4,6-trichloro-3,5-difluorophenyl)acetonitrile",20.13,"[20.13, 20.13, 20.13]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C(#N)C(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)Cl)F)F,CS(=O)C,42238-36-8,"2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-(2,3,4,5,6-pentafluorophenyl)acetonitrile",7.5,[7.5],['a_unified_view_to_bronsted_acidity_scales.pdf']
C(#N)C(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)Cl)F)F,CC#N,42238-36-8,"2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-(2,3,4,5,6-pentafluorophenyl)acetonitrile",20.36,"[20.36, 20.36, 20.36]","['a_unified_view_to_bronsted_acidity_scales.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'leito_acids']"
C(#N)C(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=NC(=C2F)F)F)F,C(CCl)Cl,62325-51-3,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile",50.5,[50.5],['leito_acids']
C(#N)C(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=NC(=C2F)F)F)F,CS(=O)C,62325-51-3,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile",3.3,[3.3],['a_unified_view_to_bronsted_acidity_scales.pdf']
C(#N)C(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=NC(=C2F)F)F)F,CC#N,62325-51-3,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile",16.39666667,"[16.4, 16.39, 16.4]","['a_unified_view_to_bronsted_acidity_scales.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'leito_acids']"
C(#N)C(C1=C(C(=NC(=C1F)F)F)F)C2=C(C(=NC(=C2F)F)F)F,C(CCl)Cl,64934-72-1,"2,2-bis(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile",47.3,[47.3],['leito_acids']
C(#N)C(C1=C(C(=NC(=C1F)F)F)F)C2=C(C(=NC(=C2F)F)F)F,CS(=O)C,64934-72-1,"2,2-bis(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile",2.4,[2.4],['a_unified_view_to_bronsted_acidity_scales.pdf']
C(#N)C(C1=C(C(=NC(=C1F)F)F)F)C2=C(C(=NC(=C2F)F)F)F,CC#N,64934-72-1,"2,2-bis(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile",13.46666667,"[13.47, 13.47, 13.46]","['a_unified_view_to_bronsted_acidity_scales.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'leito_acids']"
C(#N)C(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,CC#N,64934-68-5,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)-2-(2,3,4,5,6-pentafluorophenyl)acetonitrile",20.076,"[20.08, 20.08, 20.07, 20.07, 20.08]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'a_unified_view_to_bronsted_acidity_scales.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C(#N)C(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,C(CCl)Cl,64934-68-5,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)-2-(2,3,4,5,6-pentafluorophenyl)acetonitrile",54.4,"[54.4, 54.4]","['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C(#N)C(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)C3=C(C(=NC(=C3F)F)F)F,CC#N,62325-37-5,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile",16.015,"[16.01, 16.02]","['pKa_values_of_acids_in_acetonitrile.pdf', 'leito_acids']"
C(#N)C(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)C3=C(C4=C(C(=C3F)F)C(=C(C(=C4F)F)F)F)F,C(CCl)Cl,62325-38-6,"2,2-bis(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetonitrile",53.26666667,"[53.0, 53.4, 53.4]","['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C(#N)C(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)C3=C(C4=C(C(=C3F)F)C(=C(C(=C4F)F)F)F)F,CC#N,62325-38-6,"2,2-bis(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetonitrile",19.32,"[19.32, 19.32, 19.32, 19.32, 19.32, 19.32]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'a_unified_view_to_bronsted_acidity_scales.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C(#N)C(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)C3=C(C4=C(C(=C3F)F)C(=C(C(=C4F)F)F)F)F,CCCCCCC,62325-38-6,"2,2-bis(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetonitrile",-0.68,[-0.68],['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf']
C(#N)C1=C(C(=C(C(=C1C#N)C#N)O)C#N)C#N,C(CCl)Cl,42448-55-5,"6-hydroxybenzene-1,2,3,4,5-pentacarbonitrile",37.5,[37.5],['leito_acids']
C(#N)C1=C(C(=C(C(=C1F)F)N)F)F,CS(=O)C,17823-38-0,"4-amino-2,3,5,6-tetrafluorobenzonitrile",17.2,[17.2],['Ejoc202001649-sup-00001-misc_information.pdf']
C(#N)C1=C(C(=C(C(=C1F)F)N)F)F,CC#N,17823-38-0,"4-amino-2,3,5,6-tetrafluorobenzonitrile",28.78,"[28.78, 28.78]","['pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']"
C(=C(C#N)C#N)C(C#N)C#N,CC#N,32019-26-4,"prop-1-ene-1,1,3,3-tetracarbonitrile",5.64,[5.64],['pKa_values_of_acids_in_acetonitrile.pdf']
C(=C(C#N)C#N)C(C#N)C#N,C(CCl)Cl,32019-26-4,"prop-1-ene-1,1,3,3-tetracarbonitrile",34.3,[34.3],['leito_acids']
C(=CC(=O)O)C(=O)O,CC#N,26099-09-2,but-2-enedioic acid,19.2,[19.2],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C(=O)(C(=O)O)O,CC#N,144-62-7,oxalic acid,14.5,[14.5],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C(=O)(C(C(C(=O)O)(O)O)(O)O)O,CC#N,76-30-2,"2,2,3,3-tetrahydroxybutanedioic acid",13.7,[13.7],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C(=O)(C(Cl)(Cl)Cl)O,CC#N,76-03-9,"2,2,2-trichloroacetic acid",10.75,[10.75],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C(=O)(C(F)(F)F)O,CC#N,76-05-1,"2,2,2-trifluoroacetic acid",12.65,[12.65],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C(C(=O)O)(C(=O)O)O,CC#N,80-69-3,2-hydroxypropanedioic acid,13.8,[13.8],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C(C(=O)O)(Cl)Cl,CC#N,79-43-6,"2,2-dichloroacetic acid",13.2,[13.2],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C(C(=O)O)C(=O)O,CC#N,141-82-2,propanedioic acid,15.3,[15.3],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C(C(=O)O)Cl,CC#N,79-11-8,2-chloroacetic acid,18.8,[18.8],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C(C(=O)O)O,CC#N,79-14-1,2-hydroxyacetic acid,19.3,[19.3],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C(C(C(=O)O)Br)Br,CC#N,600-05-5,"2,3-dibromopropanoic acid",17.1,[17.1],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C(C(C(=O)O)O)(C(=O)O)O,CC#N,526-83-0,"2,3-dihydroxybutanedioic acid",15.1,[15.1],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C(C(C(F)(F)S(=O)(=O)NS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)(F)F,C(CCl)Cl,39847-39-7,"1,1,2,2,3,3,4,4,4-nonafluoro-N-(1,1,2,2,3,3,4,4,4-nonafluorobutylsulfonyl)butane-1-sulfonamide",32.6,[32.6],['leito_acids']
C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)O,CC#N,1/2/78,"1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-ol",20.525,"[20.55, 20.5, 20.5, 20.55]","['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']"
C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)O,O,1/2/78,"1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-ol",5.33,[5.33],['Ejoc202001649-sup-00001-misc_information.pdf']
C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)O,CS(=O)C,1/2/78,"1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-ol",10.7,[10.7],['Ejoc202001649-sup-00001-misc_information.pdf']
C(C(F)(F)F)(C(F)(F)S(=O)(=O)NS(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)(F)F,C(CCl)Cl,152894-12-7,"1,1,2,2,3,3,3-heptafluoro-N-(1,1,2,2,3,3,3-heptafluoropropylsulfonyl)propane-1-sulfonamide",32.7,[32.7],['leito_acids']
C(C(F)(F)P(=O)(C(C(F)(F)F)(F)F)NP(=O)(C(C(F)(F)F)(F)F)C(C(F)(F)F)(F)F)(F)(F)F,C(CCl)Cl,916079-45-3,"1-[[bis(1,1,2,2,2-pentafluoroethyl)phosphorylamino]-(1,1,2,2,2-pentafluoroethyl)phosphoryl]-1,1,2,2,2-pentafluoroethane",33.5,[33.5],['leito_acids']
C(C(F)(F)S(=O)(=O)NS(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,C(CCl)Cl,152894-10-5,"1,1,2,2,2-pentafluoro-N-(1,1,2,2,2-pentafluoroethylsulfonyl)ethanesulfonamide",32.6,[32.6],['leito_acids']
C(C[NH3+])CN,C1CCOC1,-,3-aminopropylazanium,14.8,[14.8],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C(C[NH3+])CN,O,-,3-aminopropylazanium,10.47,[10.47],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C(C[NH3+])CN,CS(=O)C,-,3-aminopropylazanium,12.3,[12.3],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C(C[NH3+])CN,CC#N,-,3-aminopropylazanium,19.76,[19.76],['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']
C(C#N)C(=C(C#N)C#N)C(C#N)C#N,C(CCl)Cl,2638-14-4,"2-(cyanomethyl)prop-1-ene-1,1,3,3-tetracarbonitrile",32.6,[32.6],['leito_acids']
C(C#N)C(=O)O,CC#N,372-09-8,2-cyanoacetic acid,18,[18.0],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
C(CC(=O)O)C(=O)O,CC#N,110-15-6,butanedioic acid,17.6,[17.6],['MeCN_Acids_COSMO-RS_2008_Table.pdf']
