,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source (all)
34,CC1(C)C[NH2+:5]1,O,0,0,8.64,[8.64],"[""['hunt_et_al']""]"
35,C[N@H+:18]1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,O,0,0,8.19,"[8.2, 8.18]","[""['hunt_et_al']"", ""['hunt_et_al']""]"
36,CC1(C)S[C@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@@H]1C(=O)[OH:22],O,0,0,2.72,[2.72],"[""['hunt_et_al']""]"
37,CC(C)(C)[NH2+:13]C[C@H](O)c1ccc(F)c(F)c1,O,0,0,9.51,[9.51],"[""['hunt_et_al']""]"
38,CCc1ccc(CC(=O)[OH:12])cc1,O,0,0,4.37,[4.37],"[""['hunt_et_al']""]"
39,CCCN(CCC)[C@@H]1CCc2c(cccc2[OH:18])C1,O,0,0,9.25,[9.25],"[""['hunt_et_al']""]"
40,N#CC(C#N)C#N,O,454-50-2,methanetricarbonitrile,-5.1,[-5.1],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
41,O=C(c1ccccc1)N1CC[NH2+:12]CC1,O,0,0,7.75,[7.75],"[""['hunt_et_al']""]"
42,O=C([N-]S(=O)(=O)c1ccccc1)N1CCC([NH+:25]2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,O,0,0,8.1,[8.1],"[""['hunt_et_al']""]"
43,CC(=O)c1cccc(C(=O)[OH:12])c1,O,0,0,3.83,[3.83],"[""['hunt_et_al']""]"
44,C[NH+:19](C)CCC(=O)C(c1ccccc1)c1ccccc1,O,0,0,8.71,[8.71],"[""['hunt_et_al']""]"
45,CC[NH+:16](CC)CCNC(=O)c1ccc(N)cc1,O,0,0,9.29,[9.29],"[""['hunt_et_al']""]"
46,C[NH2+:7]C1CCCC1,O,0,0,10.85,[10.85],"[""['hunt_et_al']""]"
47,CCNP(=N[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,O,-,[[bis(dimethylamino)-(ethylamino)-_5-phosphanylidene]amino]-tris(dimethylamino)phosphanium,20.0,[20.0],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
48,CCC(C)(C)[SH:6],O,0,0,11.22,[11.22],"[""['hunt_et_al']""]"
49,O=C(CCCc1ccc(N(CCCl)CCCl)cc1)[OH:17],O,0,0,5.8,[5.8],"[""['hunt_et_al']""]"
50,c1ccc([NH2+:13]c2ccccc2)cc1,O,0,0,0.79,[0.79],"[""['hunt_et_al']""]"
51,C1=CC=[N+]C=C1,CS(=O)C,16969-45-2,pyridin-1-ium,3.45,[3.45],"[""['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf']""]"
52,Cc1n(CCO)c([N+](=O)[O-])c[nH+:7]1,O,0,0,2.51,[2.51],"[""['hunt_et_al']""]"
53,O=S(=O)(O)c1cc(Cl)ccc1Cl,CC#N,88-42-6,"2,5-dichlorobenzenesulfonic acid",6.2,[6.2],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
54,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,CC#N,728-40-5,"2,6-ditert-butyl-4-nitrophenol",19.0,[19.0],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
55,O=[N+]([O-])c1ccc(Br)cc1[NH3+:7],O,0,0,-1.48,[-1.48],"[""['hunt_et_al']""]"
56,O=C(O)c1ccccc1[N+](=O)[O-],CC#N,552-16-9,2-nitrobenzoic acid,18.2,[18.2],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
57,C1CCC([NH3+:7])CC1,O,0,0,10.68,[10.68],"[""['hunt_et_al']""]"
58,O=C(c1ccccc1)N1CC[NH+:20](Cc2ccccc2)CC1,O,0,0,6.2,[6.2],"[""['hunt_et_al']""]"
59,O=C(C(Cl)(Cl)Cl)[OH:4],O,0,0,0.51,[0.51],"[""['hunt_et_al']""]"
60,C=CC[NH+:6](C)C,O,0,0,8.64,[8.64],"[""['hunt_et_al']""]"
61,CC[NH2+:7]C[Si](C)(C)C,O,0,0,11.12,[11.12],"[""['hunt_et_al']""]"
62,CC(=O)c1ccc(Sc2ccc([NH3+:15])cc2)cc1,O,0,0,3.31,[3.31],"[""['hunt_et_al']""]"
63,CCOC(=O)CCCC[NH3+:8],O,0,0,10.5,[10.5],"[""['hunt_et_al']""]"
64,[NH3+][C@@H](C[SH:7])C(=O)[O-],O,0,0,8.4,[8.4],"[""['hunt_et_al']""]"
65,O=[N+]([O-])c1ccccc1[NH3+:7],O,0,0,-0.26,[-0.26],"[""['hunt_et_al']""]"
66,O=C(c1ccc[n+]([O-])c1)[OH:10],O,0,0,2.79,[2.79],"[""['hunt_et_al']""]"
67,O=S(=O)(Cc1ccc(C(F)(F)F)cc1)C(F)(F)F,CC#N,194222-97-4,1-(trifluoromethyl)-4-(trifluoromethylsulfonylmethyl)benzene,24.44,[24.44],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
68,CC[NH+:17](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,O,0,0,9.51,[9.51],"[""['hunt_et_al']""]"
69,CC[NH+:22](CC)CCCCC(O)(c1ccccc1)c1ccccc1,O,0,0,10.08,[10.08],"[""['hunt_et_al']""]"
70,SCCCC[SH:5],O,0,0,9.88,[9.88],"[""['hunt_et_al']""]"
71,O=S1(=O)NS(=O)(=O)C(F)(F)C(F)(F)C1(F)F,C(CCl)Cl,84246-29-7,"4,4,5,5,6,6-hexafluoro-1,3,2-dithiazinane 1,1,3,3-tetraoxide",31.9,[31.9],"[""['leito_acids']""]"
72,O=S(=O)(F)c1cc(S(=O)(=O)F)c(O)c(S(=O)(=O)F)c1,C(CCl)Cl,882492-01-5,"2-hydroxybenzene-1,3,5-trisulfonyl fluoride",39.0,"[39.0, 39.0]","[""['leito_acids']"", ""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
73,Cc1cc(Br)cc(C)c1[NH+:11](C)C,O,0,0,4.36,[4.36],"[""['hunt_et_al']""]"
74,C[NH+]1CCCCC1,CS(=O)C,-,1-methylpiperidin-1-ium,8.4,[8.4],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
75,C1CC[NH2+]C1,C1CCOC1,84316-19-8,pyrrolidin-1-ium,13.5,[13.5],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
76,c1ccc(C[NH2+:22]CC(c2ccccc2)c2ccccc2)cc1,O,0,0,7.6,[7.6],"[""['hunt_et_al']""]"
77,CCC(=O)C(CC[NH+:24]1CCCCC1)(c1ccccc1)c1ccccc1,O,0,0,8.81,[8.81],"[""['hunt_et_al']""]"
78,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)[OH:27])cn3-c2ccc(F)cc2)CC1,O,0,0,5.81,[5.81],"[""['hunt_et_al']""]"
79,C=C(c1ccccc1)c1ccc([NH3+:15])cc1,O,0,0,4.18,[4.18],"[""['hunt_et_al']""]"
80,Cc1cc(C(=O)[OH:14])c2ccccc2c1,O,0,0,3.72,[3.72],"[""['hunt_et_al']""]"
81,O=C([O-])[C@H](c1ccccc1)N1CCC(C[NH+:26]2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,O,0,0,9.6,[9.6],"[""['hunt_et_al']""]"
82,O=C(c1ccc2ccccc2c1)[OH:13],O,0,0,4.18,[4.18],"[""['hunt_et_al']""]"
83,O=C(/C=C/c1ccccc1Cl)[OH:11],O,0,0,4.41,[4.41],"[""['hunt_et_al']""]"
84,c1ccc(SCc2cccc[nH+:13]2)cc1,O,0,0,3.8,[3.8],"[""['hunt_et_al']""]"
85,Oc1c(F)c(F)cc(F)c1F,CC#N,769-39-1,"2,3,5,6-tetrafluorophenol",20.11,"[20.12, 20.1, 20.1, 20.12]","[""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
86,O=C(O)CCC(=O)[OH:7],O,0,0,4.21,[4.21],"[""['hunt_et_al']""]"
87,CC[NH+](C)C,O,-,ethyl(dimethyl)azanium,9.99,[9.99],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
88,O=C(O)c1ccccc1,C1CCOC1,65-85-0,benzoic acid,25.11,[25.11],"[""['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf']""]"
89,C[NH2+:21]CCCC12CCC(c3ccccc31)c1ccccc12,O,0,0,10.3,[10.3],"[""['hunt_et_al']""]"
90,O=C(O)C(F)(F)F,CC#N,76-05-1,"2,2,2-trifluoroacetic acid",12.65,[12.65],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
91,C[C@@H](C[NH2+:11]C)c1ccccc1,O,0,0,10.07,[10.07],"[""['hunt_et_al']""]"
92,c1ccc2c[nH+]ncc2c1,CC#N,,phthalazin-3-ium,11.55,[11.55],"[""['pKa_values_of_nitrogen_heterocycles.pdf']""]"
93,CCCCCC[C@@H](C)[NH3+:9],O,0,0,10.49,[10.49],"[""['hunt_et_al']""]"
94,C#CC[NH3+:4],O,0,0,8.15,[8.15],"[""['hunt_et_al']""]"
95,c1coc(C[NH3+:6])c1,O,0,0,8.89,[8.89],"[""['hunt_et_al']""]"
96,COC(=O)C[NH3+:4],O,0,0,7.66,[7.66],"[""['hunt_et_al']""]"
97,CC(C)(C(=O)[OH:35])c1ccc([C@@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,O,0,0,2.26,[2.26],"[""['hunt_et_al']""]"
98,CCN(CC)CC[NH+:11](CC)CC,O,0,0,9.55,[9.55],"[""['hunt_et_al']""]"
99,NS(=O)(=O)c1cccc(C[NH3+:8])c1,O,0,0,8.55,[8.55],"[""['hunt_et_al']""]"
100,COc1ccc(C#N)c(O[C@H](CC[NH2+:20]C)c2ccccc2)c1,O,0,0,10.2,[10.2],"[""['hunt_et_al']""]"
101,O=C(O)C(Cl)Cl,CC#N,79-43-6,"2,2-dichloroacetic acid",13.2,[13.2],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
102,NS(=O)(=O)c1ccc(Cl)cc1,CN(C)C=O,98-64-6,4-chlorobenzenesulfonamide,16.58,[16.58],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
103,C=CCOc1ccccc1OC[C@H](O)C[NH2+:16]C(C)C,O,0,0,9.69,[9.69],"[""['hunt_et_al']""]"
104,COc1ccccc1/C=C/C(=O)[OH:12],O,0,0,4.46,[4.46],"[""['hunt_et_al']""]"
105,CCOC(=O)C(C#N)c1c(F)c(F)cc(F)c1F,CC#N,55852-22-7,"ethyl 2-cyano-2-(2,3,5,6-tetrafluorophenyl)acetate",18.076666666666664,"[18.08, 18.08, 18.07]","[""['leito_acids']"", ""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']""]"
106,Oc1c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c1C(F)(F)F,CC#N,723294-91-5,"2,3,4,5,6-pentakis(trifluoromethyl)phenol",10.46,"[10.46, 10.46, 10.46, 10.46, 10.46]","[""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'DCE_2011_pKa_Table_MeCN.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
107,Cc1cc(C)c([OH:10])c(C)c1,O,0,0,10.88,[10.88],"[""['hunt_et_al']""]"
108,CN(C)c1cccc2cccc([NH+](C)C)c12,O,-,[8-(dimethylamino)naphthalen-1-yl]-dimethylazanium,12.0,[12.0],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
109,CCOC(=O)C(C#N)c1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,CC#N,62325-34-2,"ethyl 2-cyano-2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetate",17.495,"[17.5, 17.5, 17.5, 17.48]","[""['a_unified_view_to_bronsted_acidity_scales.pdf', 'leito_acids']"", ""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']""]"
110,O=C([O-])CCC(=O)[OH:7],O,0,0,5.64,[5.64],"[""['hunt_et_al']""]"
111,CCCC[NH3+:5],O,0,0,10.7,[10.7],"[""['hunt_et_al']""]"
112,CCC[NH+](CCC)CCc1ccc([OH:20])c(NC(C)=O)c1,O,0,0,8.75,[8.75],"[""['hunt_et_al']""]"
113,C[C@H](Oc1ccc(Cl)cc1)C(=O)[OH:11],O,0,0,3.26,[3.26],"[""['hunt_et_al']""]"
114,C[NH+](c1ccccc1)c1ccccc1,CC#N,,methyl(diphenyl)azanium,6.52,[6.52],"[""['pKa_values_of_nitrogen_heterocycles.pdf']""]"
115,COc1ccccc1CCC(=O)[OH:12],O,0,0,4.804,[4.804],"[""['hunt_et_al']""]"
116,O=C([C@H]1CCC[NH2+]1)[OH:8],O,0,0,1.99,[1.99],"[""['hunt_et_al']""]"
117,CCCCCCCCCCCC(=O)[OH:14],O,0,0,5.3,[5.3],"[""['hunt_et_al']""]"
118,Oc1ccccc1Cc1ccccc1[OH:14],O,0,0,7.5,[7.5],"[""['hunt_et_al']""]"
119,O=[N+]([O-])c1cc(Cl)c([OH:13])c([N+](=O)[O-])c1,O,0,0,2.2,[2.2],"[""['hunt_et_al']""]"
120,CC[NH+:14](CC)CCOC(=O)c1ccc(Br)cc1,O,0,0,8.12,[8.12],"[""['hunt_et_al']""]"
121,CCOP(=O)(CCC[NH+:12](CC)CC)OCC,O,0,0,9.35,[9.35],"[""['hunt_et_al']""]"
122,CN(C)c1ccccc1S(=O)(=O)[NH:28]C(=O)N1CCC([NH+]2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,O,0,0,6.6,[6.6],"[""['hunt_et_al']""]"
123,CON(C)C(=O)c1c(Cn2c(Cl)c(Cl)[nH+:20]c2C)sc2c1c(=O)n(C)c(=O)n2CC(C)C,O,0,0,2.7,[2.7],"[""['hunt_et_al']""]"
124,O=C(c1c([N+](=O)[O-])cccc1[N+](=O)[O-])[OH:15],O,0,0,1.14,[1.14],"[""['hunt_et_al']""]"
125,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[OH:14],O,0,0,4.31,[4.31],"[""['hunt_et_al']""]"
126,Cc1ccccc1/N=N/c1ccc(O)c(C(=O)[OH:19])c1,O,0,0,2.12,[2.12],"[""['hunt_et_al']""]"
127,CSc1cc(Cl)c([NH3+:8])cc1Cl,O,0,0,1.7,[1.7],"[""['hunt_et_al']""]"
128,N#Cc1cc([NH3+:13])c2ccccc2c1,O,0,0,2.26,[2.26],"[""['hunt_et_al']""]"
129,FC(F)(F)CC[NH3+:4],O,0,0,8.7,[8.7],"[""['hunt_et_al']""]"
130,c1cncc([C@H]2CCCC[NH2+:12]2)c1,O,0,0,11.0,[11.0],"[""['hunt_et_al']""]"
131,Cc1ccccc1C[C@@H](C(=O)O)N1CCC(C[NH+:28]2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,O,0,0,9.2,[9.2],"[""['hunt_et_al']""]"
132,O=[N+]([O-])c1ccc(S(=O)(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1,C(CCl)Cl,95468-16-9,N-(4-chlorophenyl)sulfonyl-4-nitrobenzenesulfonamide,42.4,[42.4],"[""['leito_acids']""]"
133,C=CC(C)(C)[NH2+:11]C(C)(C)C=C,O,0,0,10.1,[10.1],"[""['hunt_et_al']""]"
134,CCC[NH+:18](CCC)CCc1ccc(O)c2c1CC(=O)N2,O,0,0,10.2,[10.2],"[""['hunt_et_al']""]"
135,CCOc1ccc(OCC)c([NH3+:11])c1,O,0,0,3.94,[3.94],"[""['hunt_et_al']""]"
136,C[N+](C)(C)c1ccc([NH+:12](C)C)cc1,O,0,0,2.64,[2.64],"[""['hunt_et_al']""]"
137,O=C(c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O)[OH:23],O,0,0,6.13,[6.13],"[""['hunt_et_al']""]"
138,CCc1cc(C)cc([OH:10])c1,O,0,0,10.1,[10.1],"[""['hunt_et_al']""]"
139,O=[N+]([O-])c1ccccc1O,CN(C)C=O,88-75-5,2-nitrophenol,12.2,[12.2],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
140,O=C(c1cc[n+]([O-])cc1)[OH:10],O,0,0,2.86,[2.86],"[""['hunt_et_al']""]"
141,O=C(Nc1cccc2ccccc12)c1ccccc1C(=O)[OH:22],O,0,0,4.6,[4.6],"[""['hunt_et_al']""]"
142,C[Si](C)(C)C[NH2+:9]C[Si](C)(C)C,O,0,0,11.4,[11.4],"[""['hunt_et_al']""]"
143,O=[N+]([O-])c1cc(C(F)(F)F)cc([NH3+:8])c1,O,0,0,0.82,[0.82],"[""['hunt_et_al']""]"
144,O=C(O)/C=C\C(=O)[OH:7],O,0,0,2.0,[2.0],"[""['hunt_et_al']""]"
145,[NH3+][C@@H](CCC(=O)N[C@@H](C[SH:20])C(=O)NCC(=O)O)C(=O)[O-],O,0,0,8.56,[8.56],"[""['hunt_et_al']""]"
146,CC(CO)(CO)[NH3+:5],O,0,0,8.801,[8.801],"[""['hunt_et_al']""]"
147,c1ccc([NH2+]c2ccccc2)cc1,CC#N,61236-17-7,diphenylazanium,5.98,[5.98],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
148,Cc1cc(C)c([NH+:12](C)C)c(C)c1,O,0,0,4.84,[4.84],"[""['hunt_et_al']""]"
149,N#CC(c1ccccc1)c1c(F)c(F)c(F)c(F)c1F,CS(=O)C,42238-33-5,"2-(2,3,4,5,6-pentafluorophenyl)-2-phenylacetonitrile",12.8,"[12.8, 12.8]","[""['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf']"", ""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
150,CCOc1ccccc1[NH3+:9],O,0,0,4.43,[4.43],"[""['hunt_et_al']""]"
151,COc1ccc(CC(=O)[OH:11])cc1,O,0,0,4.36,[4.36],"[""['hunt_et_al']""]"
152,CN1CCN(c2c(F)cc3c(=O)c(C(=O)[OH:23])cn(CCF)c3c2F)CC1,O,0,0,5.6,[5.6],"[""['hunt_et_al']""]"
153,c1ccc(OCC[OH:9])cc1,O,0,0,14.6,[14.6],"[""['hunt_et_al']""]"
154,CC(=O)C(=O)[OH:6],O,0,0,2.49,[2.49],"[""['hunt_et_al']""]"
155,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H]([NH3+])c3ccccc3)C(=O)N2[C@H]1C(=O)[OH:23],O,0,0,2.51,[2.51],"[""['hunt_et_al']""]"
156,CCOC(=O)[C@H](CC(C)C)[NH3+:9],O,0,0,7.57,[7.57],"[""['hunt_et_al']""]"
157,CC[NH+](C)CC,C1CCOC1,-,diethyl(methyl)azanium,12.7,[12.7],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
158,c1cc([OH:9])c2ncsc2c1,O,0,0,8.85,[8.85],"[""['hunt_et_al']""]"
159,C[N@H+:10]1CCCC(=O)[C@H](O)CCC1,O,0,0,9.2,[9.2],"[""['hunt_et_al']""]"
160,O=C(O)[C@H]1CCC[NH2+:7]C1,O,0,0,10.64,[10.64],"[""['hunt_et_al']""]"
161,O=C(COCC[NH+]1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1)[OH:25],O,0,0,3.0,[3.0],"[""['hunt_et_al']""]"
162,COC(=O)c1ccc(C(F)(F)F)nc1S(=O)(=O)[NH:20]C(=O)Nc1nc(OC)cc(OC)n1,O,0,0,4.9,[4.9],"[""['hunt_et_al']""]"
163,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,O,534-52-1,"2-methyl-4,6-dinitrophenol",4.35,[4.35],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
164,Cc1cccc([C@H](C)[NH3+:10])c1,O,0,0,9.41,[9.41],"[""['hunt_et_al']""]"
165,O=C(Nc1ccccc1)c1ccccc1C(=O)[OH:18],O,0,0,2.5,[2.5],"[""['hunt_et_al']""]"
166,O=C(CCc1ccc([N+](=O)[O-])cc1)[OH:14],O,0,0,4.54,[4.54],"[""['hunt_et_al']""]"
167,FC(F)(F)C(F)(F)C(F)(F)C(C(F)(F)C(F)(F)C(F)(F)F)[OH:8],O,0,0,10.52,[10.52],"[""['hunt_et_al']""]"
168,N#CC(C#N)c1c(F)c(F)c(C(F)(F)F)c(F)c1F,CC#N,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",10.19,"[10.19, 10.19, 10.19, 10.19, 10.19, 10.19]","[""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'DCE_2011_pKa_Table_MeCN.pdf', 'a_unified_view_to_bronsted_acidity_scales.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
169,C[C@@H](c1ccc(Br)cc1)[NH3+:9],O,0,0,8.95,[8.95],"[""['hunt_et_al']""]"
170,CCOCC[OH:5],O,0,0,14.98,[14.98],"[""['hunt_et_al']""]"
171,Oc1cccc(C(F)(F)F)c1,CS(=O)C,98-17-9,3-(trifluoromethyl)phenol,15.1,[15.1],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
172,O=C1c2ccc([OH:17])cc2C(=O)c2ccc(O)cc21,O,0,0,6.22,[6.22],"[""['hunt_et_al']""]"
173,Cc1cnc2c([OH:12])cccc2c1,O,0,0,9.75,[9.75],"[""['hunt_et_al']""]"
